left,right,add,sub
1419.58,1381.71,2801.29,37.87
1422.8,1379.3,2802.1,43.5
1426.83,1389.77,2816.6,37.06
1426.83,1387.35,2814.18,39.48
1426.83,1389.77,2816.6,37.06
1422.8,1394.6,2817.4,28.2
1422,1407.5,2829.5,14.5
1426.03,1401.05,2827.08,24.98
1430.86,1389.77,2820.63,41.09
1423.61,1419.58,2843.19,4.03
1422,1393.8,2815.8,28.2
1430.86,1413.94,2844.8,16.92
1421.19,1407.5,2828.69,13.69
1430.86,1405.08,2835.94,25.78
1425.22,1405.08,2830.3,20.14
1422.8,1397.02,2819.82,25.78
1420.39,1405.88,2826.27,14.51
1425.22,1410.72,2835.94,14.5
1430.05,1409.11,2839.16,20.94
1419.58,1407.5,2827.08,12.08
1413.94,1415.55,2829.49,-1.61
1409.11,1402.66,2811.77,6.45
1422,1406.69,2828.69,15.31
1430.86,1409.91,2840.77,20.95
1426.03,1405.08,2831.11,20.95
1433.28,1405.08,2838.36,28.2
1430.86,1405.08,2835.94,25.78
1434.89,1403.47,2838.36,31.42
1438.92,1415.55,2854.47,23.37
1433.28,1410.72,2844,22.56
1456.64,1428.44,2885.08,28.2
1521.09,1498.54,3019.63,22.55
1542.85,1521.9,3064.75,20.95
1531.57,1494.51,3026.08,37.06
1530.76,1507.4,3038.16,23.36
1550.9,1547.68,3098.58,3.22
1533.98,1533.18,3067.16,0.8
1519.48,1564.6,3084.08,-45.12
1526.73,1536.4,3063.13,-9.67
1513.04,1525.12,3038.16,-12.08
1526.73,1555.74,3082.47,-29.01
1515.45,1548.49,3063.94,-33.04
1532.37,1550.1,3082.47,-17.73
1525.93,1545.26,3071.19,-19.33
1505.79,1559.77,3065.56,-53.98
1505.79,1558.96,3064.75,-53.17
1510.62,1538.82,3049.44,-28.2
1508.2,1557.35,3065.55,-49.15
1492.9,1544.46,3037.36,-51.56
1503.37,1562.18,3065.55,-58.81
1496.12,1546.07,3042.19,-49.95
1495.31,1525.93,3021.24,-30.62
1474.37,1529.96,3004.33,-55.59
1497.73,1535.6,3033.33,-37.87
1499.34,1529.96,3029.3,-30.62
1495.31,1508.2,3003.51,-12.89
1470.34,1510.62,2980.96,-40.28
1486.45,1500.95,2987.4,-14.5
1497.73,1513.04,3010.77,-15.31
1481.62,1516.26,2997.88,-34.64
1486.45,1516.26,3002.71,-29.81
1480,1494.51,2974.51,-14.51
1494.51,1512.23,3006.74,-17.72
1495.31,1492.09,2987.4,3.22
1489.67,1500.95,2990.62,-11.28
1482.42,1497.73,2980.15,-15.31
1490.48,1495.31,2985.79,-4.83
1492.09,1489.67,2981.76,2.42
1484.84,1487.26,2972.1,-2.42
1480.81,1486.45,2967.26,-5.64
1482.42,1491.28,2973.7,-8.86
1480,1496.92,2976.92,-16.92
1482.42,1482.42,2964.84,0
1468.73,1493.7,2962.43,-24.97
1467.11,1494.51,2961.62,-27.4
1460.67,1499.34,2960.01,-38.67
1482.42,1488.06,2970.48,-5.64
1464.7,1488.06,2952.76,-23.36
1480,1457.45,2937.45,22.55
1474.37,1482.42,2956.79,-8.05
1471.14,1484.84,2955.98,-13.7
1456.64,1472.75,2929.39,-16.11
1473.56,1470.34,2943.9,3.22
1456.64,1467.11,2923.75,-10.47
1460.67,1482.42,2943.09,-21.75
1469.53,1492.9,2962.43,-23.37
1456.64,1459.06,2915.7,-2.42
1459.06,1480,2939.06,-20.94
1464.7,1478.39,2943.09,-13.69
1465.5,1468.73,2934.23,-3.23
1455.83,1473.56,2929.39,-17.73
1454.22,1461.47,2915.69,-7.25
1435.69,1456.64,2892.33,-20.95
1381.71,1400.24,2781.95,-18.53
1352.71,1353.52,2706.23,-0.81
1345.46,1345.46,2690.92,0
1335.79,1351.1,2686.89,-15.31
1331.76,1349.49,2681.25,-17.73
1338.21,1340.63,2678.84,-2.42
1341.43,1325.32,2666.75,16.11
1347.88,1328.54,2676.42,19.34
1353.52,1327.73,2681.25,25.79
1351.9,1338.21,2690.11,13.69
1348.68,1344.65,2693.33,4.03
1350.29,1340.63,2690.92,9.66
1373.66,1359.16,2732.82,14.5
1378.49,1352.71,2731.2,25.78
1366.41,1351.1,2717.51,15.31
1379.3,1352.71,2732.01,26.59
1349.49,1355.93,2705.42,-6.44
1379.3,1353.52,2732.82,25.78
1384.94,1373.66,2758.6,11.28
1392.99,1372.05,2765.04,20.94
1363.18,1380.1,2743.28,-16.92
1380.91,1367.21,2748.12,13.7
