left,right,add,sub
1390.58,1391.38,2781.96,-0.8
1397.83,1391.38,2789.21,6.45
1386.55,1386.55,2773.1,0
1392.19,1370.43,2762.62,21.76
1388.96,1390.58,2779.54,-1.62
1386.55,1389.77,2776.32,-3.22
1387.35,1383.33,2770.68,4.02
1397.02,1392.19,2789.21,4.83
1392.19,1384.13,2776.32,8.06
1405.08,1384.94,2790.02,20.14
1488.06,1475.17,2963.23,12.89
1483.23,1474.37,2957.6,8.86
1446.17,1441.33,2887.5,4.84
1418.77,1414.75,2833.52,4.02
1405.88,1399.44,2805.32,6.44
1405.88,1390.58,2796.46,15.3
1405.08,1393.8,2798.88,11.28
1391.38,1395.41,2786.79,-4.03
1388.16,1400.24,2788.4,-12.08
1391.38,1396.22,2787.6,-4.84
1387.35,1394.6,2781.95,-7.25
1390.58,1386.55,2777.13,4.03
1392.19,1407.5,2799.69,-15.31
1384.13,1405.88,2790.01,-21.75
1379.3,1402.66,2781.96,-23.36
1384.94,1397.02,2781.96,-12.08
1389.77,1400.24,2790.01,-10.47
1384.94,1407.5,2792.44,-22.56
1399.44,1399.44,2798.88,0
1393.8,1405.88,2799.68,-12.08
1384.94,1402.66,2787.6,-17.72
1382.52,1395.41,2777.93,-12.89
1456.64,1456.64,2913.28,0
1488.06,1491.28,2979.34,-3.22
1457.45,1460.67,2918.12,-3.22
1413.13,1442.94,2856.07,-29.81
1405.08,1427.64,2832.72,-22.56
1388.16,1417.16,2805.32,-29
1392.19,1407.5,2799.69,-15.31
1383.33,1409.91,2793.24,-26.58
1397.83,1415.55,2813.38,-17.72
1401.86,1391.38,2793.24,10.48
1401.05,1414.75,2815.8,-13.7
1392.19,1404.27,2796.46,-12.08
1404.27,1405.08,2809.35,-0.81
1394.6,1402.66,2797.26,-8.06
1400.24,1412.33,2812.57,-12.09
1390.58,1399.44,2790.02,-8.86
1407.5,1406.69,2814.19,0.81
1388.16,1412.33,2800.49,-24.17
1407.5,1433.28,2840.78,-25.78
1405.88,1412.33,2818.21,-6.45
1403.47,1406.69,2810.16,-3.22
1412.33,1419.58,2831.91,-7.25
1533.98,1521.9,3055.88,12.08
1496.92,1496.12,2993.04,0.8
1463.89,1449.39,2913.28,14.5
1434.89,1454.22,2889.11,-19.33
1428.44,1430.86,2859.3,-2.42
1422,1422.8,2844.8,-0.8
1416.36,1426.03,2842.39,-9.67
1415.55,1431.67,2847.22,-16.12
1410.72,1428.44,2839.16,-17.72
1410.72,1430.86,2841.58,-20.14
1402.66,1430.86,2833.52,-28.2
1405.08,1417.97,2823.05,-12.89
1391.38,1426.03,2817.41,-34.65
1402.66,1425.22,2827.88,-22.56
1381.71,1418.77,2800.48,-37.06
1409.11,1417.16,2826.27,-8.05
1401.05,1430.05,2831.1,-29
1409.11,1434.08,2843.19,-24.97
1467.11,1467.11,2934.22,0
1453.42,1460.67,2914.09,-7.25
1412.33,1442.14,2854.47,-29.81
1409.11,1433.28,2842.39,-24.17
1399.44,1430.86,2830.3,-31.42
1403.47,1430.05,2833.52,-26.58
1402.66,1430.05,2832.71,-27.39
1414.75,1426.03,2840.78,-11.28
1411.52,1415.55,2827.07,-4.03
1417.97,1436.5,2854.47,-18.53
1406.69,1422,2828.69,-15.31
1414.75,1418.77,2833.52,-4.02
1417.16,1417.16,2834.32,0
1401.05,1409.11,2810.16,-8.06
1402.66,1405.88,2808.54,-3.22
1414.75,1416.36,2831.11,-1.61
1422,1417.97,2839.97,4.03
1413.13,1420.39,2833.52,-7.26
1449.39,1447.78,2897.17,1.61
1554.13,1529.15,3083.28,24.98
1493.7,1477.59,2971.29,16.11
1458.25,1452.61,2910.86,5.64
1442.94,1439.72,2882.66,3.22
1413.13,1436.5,2849.63,-23.37
1417.16,1439.72,2856.88,-22.56
1426.03,1435.69,2861.72,-9.66
1426.83,1427.64,2854.47,-0.81
1405.88,1416.36,2822.24,-10.48
1407.5,1415.55,2823.05,-8.05
1407.5,1428.44,2835.94,-20.94
1416.36,1417.97,2834.33,-1.61
1405.88,1420.39,2826.27,-14.51
1405.88,1423.61,2829.49,-17.73
1413.94,1425.22,2839.16,-11.28
1406.69,1428.44,2835.13,-21.75
1419.58,1432.47,2852.05,-12.89
1414.75,1430.86,2845.61,-16.11
1420.39,1430.05,2850.44,-9.66
1431.67,1438.92,2870.59,-7.25
1541.24,1510.62,3051.86,30.62
1499.34,1473.56,2972.9,25.78
1433.28,1455.83,2889.11,-22.55
1417.97,1438.92,2856.89,-20.95
1414.75,1438.92,2853.67,-24.17
1415.55,1431.67,2847.22,-16.12
1417.16,1434.08,2851.24,-16.92
1412.33,1423.61,2835.94,-11.28
1410.72,1406.69,2817.41,4.03
1416.36,1431.67,2848.03,-15.31
1418.77,1426.03,2844.8,-7.26
1413.94,1422,2835.94,-8.06
1417.16,1431.67,2848.83,-14.51
1430.86,1416.36,2847.22,14.5
1414.75,1430.86,2845.61,-16.11
1416.36,1433.28,2849.64,-16.92
1431.67,1441.33,2873,-9.66
1428.44,1432.47,2860.91,-4.03
1435.69,1456.64,2892.33,-20.95
1442.14,1449.39,2891.53,-7.25
1531.57,1533.18,3064.75,-1.61
1507.4,1508.2,3015.6,-0.8
1461.47,1494.51,2955.98,-33.04
1448.58,1484.03,2932.61,-35.45
1445.36,1480,2925.36,-34.64
1448.58,1465.5,2914.08,-16.92
1451,1480,2931,-29
1451,1477.59,2928.59,-26.59
1445.36,1468.73,2914.09,-23.37
1430.86,1471.14,2902,-40.28
1446.17,1467.92,2914.09,-21.75
1442.14,1462.28,2904.42,-20.14
1430.86,1468.73,2899.59,-37.87
1433.28,1467.11,2900.39,-33.83
1446.17,1456.64,2902.81,-10.47
1439.72,1465.5,2905.22,-25.78
1431.67,1467.11,2898.78,-35.44
1438.11,1465.5,2903.61,-27.39
1439.72,1467.92,2907.64,-28.2
1429.25,1461.47,2890.72,-32.22
1502.56,1512.23,3014.79,-9.67
1533.98,1544.46,3078.44,-10.48
1494.51,1513.84,3008.35,-19.33
1443.75,1484.84,2928.59,-41.09
1431.67,1462.28,2893.95,-30.61
1430.86,1462.28,2893.14,-31.42
1447.78,1468.73,2916.51,-20.95
1442.14,1468.73,2910.87,-26.59
1442.14,1456.64,2898.78,-14.5
1431.67,1462.28,2893.95,-30.61
1428.44,1467.92,2896.36,-39.48
1428.44,1465.5,2893.94,-37.06
1420.39,1465.5,2885.89,-45.11
1415.55,1457.45,2873,-41.9
1413.94,1448.58,2862.52,-34.64
1417.16,1446.17,2863.33,-29.01
1405.08,1442.14,2847.22,-37.06
1409.91,1436.5,2846.41,-26.59
1430.05,1445.36,2875.41,-15.31
1554.93,1533.98,3088.91,20.95
1525.12,1536.4,3061.52,-11.28
1473.56,1488.06,2961.62,-14.5
1438.92,1478.39,2917.31,-39.47
1425.22,1430.86,2856.08,-5.64
1428.44,1435.69,2864.13,-7.25
1416.36,1462.28,2878.64,-45.92
1414.75,1442.14,2856.89,-27.39
1422.8,1442.94,2865.74,-20.14
1418.77,1428.44,2847.21,-9.67
