left,right,add,sub
1534.79,1309.2,2843.99,225.59
1539.62,1313.23,2852.85,226.39
1545.26,1318.07,2863.33,227.19
1515.45,1310.82,2826.27,204.63
1536.4,1330.15,2866.55,206.25
1522.71,1338.21,2860.92,184.5
1520.29,1339.01,2859.3,181.28
1513.04,1342.24,2855.28,170.8
1508.2,1339.01,2847.21,169.19
1525.12,1348.68,2873.8,176.44
1535.6,1332.57,2868.17,203.03
1526.73,1349.49,2876.22,177.24
1524.32,1334.99,2859.31,189.33
1520.29,1355.13,2875.42,165.16
1510.62,1352.71,2863.33,157.91
1504.17,1355.93,2860.1,148.24
1520.29,1363.99,2884.28,156.3
1503.37,1355.13,2858.5,148.24
1520.29,1361.57,2881.86,158.72
1513.84,1365.6,2879.44,148.24
1489.67,1390.58,2880.25,99.09
1498.54,1413.94,2912.48,84.6
1477.59,1430.05,2907.64,47.54
1435.69,1621.8,3057.49,-186.11
1335.79,1834.5,3170.29,-498.71
1215.75,1931.18,3146.93,-715.43
1119.07,1976.29,3095.36,-857.22
1065.09,1999.66,3064.75,-934.57
1047.36,1976.29,3023.65,-928.93
1044.14,1936.01,2980.15,-891.87
1022.39,1948.9,2971.29,-926.51
1037.7,1932.79,2970.49,-895.09
1053,1931.98,2984.98,-878.98
1068.31,1907.01,2975.32,-838.7
1075.56,1894.92,2970.48,-819.36
1095.7,1894.92,2990.62,-799.22
1101.34,1886.06,2987.4,-784.72
1121.48,1874.78,2996.26,-753.3
1136.79,1867.53,3004.32,-730.74
1142.43,1861.08,3003.51,-718.65
1138.4,1850.61,2989.01,-712.21
1161.77,1842.55,3004.32,-680.78
1160.16,1841.75,3001.91,-681.59
1173.05,1821.61,2994.66,-648.56
1180.3,1816.77,2997.07,-636.47
1173.05,1794.21,2967.26,-621.16
1206.08,1807.1,3013.18,-601.02
1198.83,1774.88,2973.71,-576.05
1206.88,1787.77,2994.65,-580.89
1213.33,1774.88,2988.21,-561.55
1206.08,1771.66,2977.74,-565.58
1223.8,1761.99,2985.79,-538.19
1235.89,1749.1,2984.99,-513.21
1236.69,1755.54,2992.23,-518.85
1236.69,1741.04,2977.73,-504.35
1236.69,1716.06,2952.75,-479.37
1231.86,1728.15,2960.01,-496.29
1262.48,1727.34,2989.82,-464.86
1263.28,1695.92,2959.2,-432.64
1281.81,1714.45,2996.26,-432.64
1285.84,1689.48,2975.32,-403.64
1289.06,1691.89,2980.95,-402.83
1289.87,1699.15,2989.02,-409.28
1285.03,1686.25,2971.28,-401.22
1291.48,1672.56,2964.04,-381.08
1304.37,1681.42,2985.79,-377.05
1325.32,1658.06,2983.38,-332.74
1340.63,1648.39,2989.02,-307.76
1342.24,1647.58,2989.82,-305.34
1353.52,1624.22,2977.74,-270.7
1348.68,1637.11,2985.79,-288.43
1344.65,1625.83,2970.48,-281.18
1349.49,1623.41,2972.9,-273.92
1361.57,1611.33,2972.9,-249.76
1355.93,1611.33,2967.26,-255.4
1363.99,1615.36,2979.35,-251.37
1350.29,1593.6,2943.89,-243.31
1360.77,1596.83,2957.6,-236.06
1353.52,1585.55,2939.07,-232.03
1336.6,1597.63,2934.23,-261.03
1336.6,1596.83,2933.43,-260.23
1331.76,1596.02,2927.78,-264.26
1334.99,1599.24,2934.23,-264.25
1343.04,1581.52,2924.56,-238.48
1341.43,1568.63,2910.06,-227.2
1352.71,1584.74,2937.45,-232.03
1352.71,1575.07,2927.78,-222.36
1362.38,1582.32,2944.7,-219.94
1368.02,1549.29,2917.31,-181.27
1355.93,1565.41,2921.34,-209.48
1359.16,1565.41,2924.57,-206.25
1361.57,1550.9,2912.47,-189.33
1359.96,1546.88,2906.84,-186.92
1368.02,1552.51,2920.53,-184.49
1367.21,1552.51,2919.72,-185.3
1380.1,1542.85,2922.95,-162.75
1543.65,1495.31,3038.96,48.34
1786.96,1378.49,3165.45,408.47
1896.53,1204.47,3101,692.06
1907.01,1045.75,2952.76,861.26
1902.17,985.33,2887.5,916.84
1890.89,959.55,2850.44,931.34
1842.55,948.27,2790.82,894.28
1871.56,943.43,2814.99,928.13
1868.33,928.12,2796.45,940.21
1855.44,918.46,2773.9,936.98
1842.55,920.87,2763.42,921.68
1812.74,941.02,2753.76,871.72
1792.6,949.07,2741.67,843.53
1791.8,965.19,2756.99,826.61
1776.49,974.85,2751.34,801.64
1755.54,1023.19,2778.73,732.35
1716.87,1034.47,2751.34,682.4
