start,,,
right,left,lighting led pin,
899.12,3299.19,0,24980649
895.9,3299.19,0,25097524
896.7,3299.19,0,25214558
891.87,3299.19,0,25331589
889.45,3299.19,0,25448528
897.51,3299.19,0,25565484
896.7,3299.19,0,25682477
891.06,3299.19,2,25806513
889.45,3299.19,2,25923528
880.59,3299.19,2,26040524
863.67,3299.19,2,26157477
857.23,3299.19,2,26274524
847.56,3273.41,2,26391528
845.95,3258.91,2,26508566
837.89,3260.52,2,26625528
841.92,3263.75,2,26742473
837.89,3266.97,2,26859477
837.89,3273.41,2,26983452
841.11,3262.13,2,27100539
837.89,3279.86,2,27217483
841.92,3273.41,2,27334539
851.59,3276.64,2,27451484
854,3254.08,2,27568581
837.89,3286.3,2,27685483
857.23,3266.97,2,27802539
858.84,3299.19,2,27919536
857.23,3260.52,2,28036539
863.67,3266.97,1,28153494
870.92,3273.41,1,28270540
913.62,3299.19,1,28387484
896.7,3299.19,1,28504570
903.15,3299.19,1,28621536
909.59,3299.19,1,28738539
924.9,3299.19,1,28855483
928.93,3299.19,1,29006375
909.59,3299.19,1,29128529
919.26,3299.19,1,29255206
919.26,3299.19,1,29372486
912.01,3286.3,1,29489505
915.23,3292.75,1,29606538
916.04,3276.64,1,29723485
906.37,3291.14,1,29840486
891.87,3289.53,1,29957485
908.79,3292.75,1,30074538
902.34,3289.53,1,30191485
906.37,3286.3,1,30308506
906.37,3286.3,1,30425495
902.34,3299.19,2,30542538
891.06,3286.3,2,30659556
902.34,3270.19,2,30776486
838.7,3131.62,2,30893485
838.7,3138.06,2,31010538
837.89,3154.17,2,31123104
850.78,3131.62,2,31239558
841.11,3144.51,2,31356513
860.45,3144.51,2,31473508
853.2,3150.95,2,31590504
842.72,3155.79,2,31707558
834.67,3144.51,2,31824536
845.14,3144.51,2,31941570
855.62,3144.51,2,32058566
847.56,3150.95,2,32175558
857.23,3144.51,2,32292554
863.67,3144.51,2,32409487
856.42,3128.39,2,32526536
858.03,3134.84,2,32643508
864.48,3144.51,2,32767979
,,,
start,,,
right,left,lighting led pin,
920.87,3299.19,0,0
915.23,3299.19,0,233
907.18,3299.19,0,117222
