start,,,
right,left,lighting led pin,
873.34,2980.15,2,27804350
880.59,2975.32,2,27935346
876.56,2980.15,2,28066350
866.89,2976.93,2,28197282
870.92,2973.71,2,28328350
876.56,2986.6,2,28459336
881.4,2983.37,2,28590329
883.81,3002.71,2,28721294
876.56,2978.54,1,28852297
887.04,2969.68,1,28983407
903.96,3055.88,1,29114360
907.18,3076.83,1,29245388
913.62,3080.05,1,29382755
935.38,3012.38,1,29513294
950.68,3031.71,1,29644360
918.46,3034.94,1,29775294
907.18,3015.6,1,29906369
900.73,3031.71,1,30037356
889.45,3047.83,1,30168360
900.73,3031.71,1,30299347
896.7,3022.05,1,30430298
894.29,3030.1,1,30561294
894.29,3028.49,1,30692308
887.04,3028.49,1,30823419
889.45,3028.49,1,30954445
891.06,3025.27,1,31085419
903.15,2982.57,1,31216360
896.7,2996.26,1,31347346
902.34,3012.38,0,31478422
881.4,3030.1,0,31615773
868.51,3057.5,0,31746410
881.4,3041.38,0,31877407
887.04,3041.38,0,32015696
889.45,3015.6,0,32153356
894.29,3034.94,0,32284350
892.68,3041.38,0,32415282
891.06,3041.38,0,32546298
888.65,3051.05,0,32677346
876.56,3041.38,0,32808349
953.91,3144.51,0,32939294
890.26,3047.83,0,33070350
889.45,3056.69,0,33201407
889.45,3041.38,0,33332350
873.34,3054.27,0,33463282
876.56,3053.47,0,33594350
889.45,3030.1,0,33725294
892.68,3013.99,0,33862833
889.45,3041.38,0,33993346
882.2,3057.5,1,34124434
884.62,3038.16,1,34255357
876.56,3028.49,1,34386360
889.45,3009.16,1,34517347
889.45,3009.16,1,34648422
880.59,3005.93,1,34779347
878.98,3004.32,1,34910422
891.06,3012.38,1,35041346
889.45,2978.54,1,35172350
881.4,2976.93,1,35303419
876.56,2999.49,1,35434422
883.01,2989.82,1,35565407
889.45,3015.6,1,35696360
889.45,2983.37,1,35827407
889.45,3002.71,1,35958422
891.06,2996.26,1,36103840
886.23,3015.6,1,36234297
889.45,3002.71,1,36364346
891.06,2989.82,1,36495350
891.06,3002.71,1,36626336
,,,
start,,,
right,left,lighting led pin,
889.45,2999.49,0,0
876.56,3044.6,0,233
878.17,3018.82,0,130740
916.85,3055.88,0,261706
880.59,3009.16,0,391767
870.12,3012.38,0,522770
876.56,3002.71,0,653702
863.67,3009.16,0,783760
870.92,3001.1,0,914767
876.56,3009.16,0,1045800
868.51,2989.82,0,1176839
877.37,3004.32,0,1307831
870.12,3009.16,0,1445309
877.37,3002.71,0,1575789
877.37,2996.26,0,1706839
872.53,3005.93,0,1837843
877.37,3009.16,0,1968827
886.23,2989.82,0,2099842
874.95,3004.32,0,2230786
878.17,3015.6,0,2361812
876.56,3015.6,0,2492827
882.2,3015.6,0,2623812
878.98,3015.6,0,2754776
887.84,3018.82,0,2885830
887.84,3004.32,0,3016767
886.23,3022.05,0,3147770
881.4,3028.49,0,3278827
889.45,3041.38,0,3409831
892.68,3009.16,0,3540767
892.68,3015.6,0,3678369
884.62,2996.26,0,3808808
883.01,3013.99,0,3939801
877.37,3028.49,0,4070808
886.23,3009.16,0,4201812
880.59,3015.6,0,4332808
893.48,3031.71,0,4463812
891.87,3002.71,0,4594827
896.7,2996.26,0,4725812
886.23,3022.05,0,4856808
902.34,3025.27,0,4987800
895.9,3022.05,0,5125542
889.45,3022.05,0,5262979
876.56,3030.1,0,5393702
881.4,3022.05,0,5523718
891.06,3002.71,0,5653702
887.84,3015.6,0,5783706
886.23,3034.94,0,5913714
899.12,3015.6,0,6050162
889.45,3012.38,0,6180785
889.45,3015.6,0,6311718
887.84,3028.49,0,6441767
885.42,3031.71,0,6572718
889.45,3039.77,0,6703714
889.45,3018.82,0,6833718
889.45,3002.71,0,6963714
876.56,3018.82,0,7093718
881.4,3015.6,0,7223785
884.62,3025.27,0,7354770
884.62,3022.05,0,7485786
884.62,3009.16,0,7616717
881.4,3015.6,2,7746767
876.56,3012.38,2,7877718
876.56,3015.6,2,8007766
850.78,2938.26,2,8138780
848.36,2902.81,2,8269714
845.95,2886.69,2,8406243
849.17,2886.69,2,8536714
841.92,2883.47,2,8666770
845.95,2886.69,2,8797785
841.11,2912.48,2,8928770
848.36,2912.48,2,9059767
842.72,2906.03,2,9190770
853.2,2886.69,2,9321714
854,2883.47,2,9459770
860.45,2886.69,2,9590714
850.78,2886.69,2,9720770
864.48,2910.86,2,9851714
866.89,2912.48,2,9981718
869.31,2886.69,2,10111714
855.62,2926.98,2,10250493
862.06,2880.25,0,10380714
850.78,2912.48,0,10510706
889.45,2918.92,0,10647136
890.26,2938.26,0,10777780
894.29,2944.7,0,10908714
902.34,2957.59,0,11038740
894.29,2964.04,0,11169767
902.34,2944.7,0,11300780
902.34,2976.93,0,11431766
899.93,2980.15,0,11562718
893.48,2978.54,0,11693714
902.34,2970.48,0,11823780
899.93,2976.93,0,11954714
899.93,2978.54,0,12084780
912.01,2973.71,0,12215736
911.21,2989.82,0,12345780
903.96,2996.26,0,12476714
902.34,2989.82,0,12606770
894.29,2989.82,0,12737714
904.76,2970.48,0,12874265
905.57,2976.93,1,13004767
893.48,2964.04,1,13135771
893.48,2989.82,1,13266714
894.29,2976.93,1,13396831
902.34,2973.71,1,13527827
899.12,2954.37,1,13658770
897.51,2964.04,1,13789766
893.48,2964.04,1,13920831
887.04,2968.87,1,14051827
889.45,2973.71,1,14182770
887.84,2951.15,1,14313767
889.45,2944.7,1,14444770
889.45,2964.04,1,14575827
892.68,2960.82,1,14706717
893.48,2979.35,1,14836827
897.51,2986.6,1,14974517
893.48,2960.82,1,15111240
902.34,2976.93,1,15241727
899.12,2964.04,1,15379850
