start,,,
right,left,lighting led pin,
924.9,3241.19,0,0
924.9,3254.08,0,92
928.12,3266.97,0,85070
925.71,3266.97,0,170136
924.9,3285.5,0,255078
919.26,3295.97,0,346574
915.23,3292.75,0,431151
928.12,3299.19,0,516136
928.12,3299.19,0,601193
915.23,3273.41,0,686156
903.15,3287.92,0,771091
907.98,3272.61,0,856168
905.57,3279.86,0,941193
911.21,3273.41,0,1026145
915.23,3273.41,0,1111140
908.79,3272.61,0,1196073
920.07,3266.97,0,1281140
915.23,3266.97,0,1366136
908.79,3241.19,0,1451140
905.57,3273.41,0,1536186
902.34,3273.41,0,1621193
913.62,3273.41,0,1712993
900.73,3276.64,0,1798140
899.12,3283.08,0,1889609
896.7,3270.19,0,1974091
910.4,3286.3,0,2059096
889.45,3286.3,0,2144131
906.37,3286.3,0,2229125
902.34,3286.3,0,2314131
902.34,3299.19,0,2399125
908.79,3287.92,0,2484068
909.59,3289.53,0,2575803
910.4,3295.97,0,2661131
906.37,3292.75,0,2746209
902.34,3299.19,0,2831078
906.37,3299.19,0,2916135
905.57,3299.19,0,3009110
899.93,3299.19,0,3094073
902.34,3299.19,0,3179131
887.04,3299.19,0,3264126
887.84,3299.19,0,3349131
905.57,3279.86,0,3440609
902.34,3299.19,0,3525228
892.68,3299.19,0,3610105
886.23,3295.97,0,3695193
891.06,3299.19,0,3780073
886.23,3299.19,0,3865140
895.09,3299.19,0,3950198
890.26,3299.19,0,4035111
889.45,3299.19,0,4120136
889.45,3299.19,0,4205163
911.21,3299.19,0,4290198
899.12,3299.19,0,4375140
907.18,3299.19,0,4460136
907.18,3299.19,0,4545140
907.98,3299.19,0,4630136
908.79,3278.25,0,4715140
886.23,3289.53,0,4800082
887.84,3279.86,0,4891637
891.06,3279.86,0,4976083
894.29,3295.97,1,5061131
887.84,3286.3,1,5146186
889.45,3273.41,1,5231193
876.56,3292.75,1,5316209
889.45,3254.08,1,5401078
894.29,3250.85,1,5486125
892.68,3247.63,1,5571121
889.45,3247.63,1,5656125
