left,right,add,sub
1438.92,1455.83,2894.75,-16.91
1438.92,1442.94,2881.86,-4.02
1426.03,1439.72,2865.75,-13.69
1438.92,1429.25,2868.17,9.67
1422,1445.36,2867.36,-23.36
1420.39,1446.17,2866.56,-25.78
1424.41,1444.56,2868.97,-20.15
1422,1448.58,2870.58,-26.58
1434.89,1439.72,2874.61,-4.83
1418.77,1442.14,2860.91,-23.37
1459.06,1426.83,2885.89,32.23
1423.61,1416.36,2839.97,7.25
1422.8,1430.86,2853.66,-8.06
1431.67,1440.53,2872.2,-8.86
1449.39,1439.72,2889.11,9.67
1447.78,1439.72,2887.5,8.06
1445.36,1444.56,2889.92,0.8
1429.25,1433.28,2862.53,-4.03
1447.78,1442.14,2889.92,5.64
1431.67,1453.42,2885.09,-21.75
1434.08,1440.53,2874.61,-6.45
1434.08,1436.5,2870.58,-2.42
1436.5,1422,2858.5,14.5
1425.22,1438.92,2864.14,-13.7
1420.39,1432.47,2852.86,-12.08
1420.39,1451,2871.39,-30.61
1430.05,1440.53,2870.58,-10.48
1438.92,1466.31,2905.23,-27.39
1432.47,1430.86,2863.33,1.61
1431.67,1439.72,2871.39,-8.05
1415.55,1449.39,2864.94,-33.84
1429.25,1431.67,2860.92,-2.42
1436.5,1429.25,2865.75,7.25
1419.58,1439.72,2859.3,-20.14
1430.05,1442.94,2872.99,-12.89
1434.89,1436.5,2871.39,-1.61
1452.61,1438.92,2891.53,13.69
1427.64,1443.75,2871.39,-16.11
1441.33,1442.94,2884.27,-1.61
1430.86,1442.94,2873.8,-12.08
1431.67,1433.28,2864.95,-1.61
1436.5,1433.28,2869.78,3.22
1430.05,1430.86,2860.91,-0.81
1441.33,1430.86,2872.19,10.47
1415.55,1417.16,2832.71,-1.61
1430.86,1435.69,2866.55,-4.83
1415.55,1459.06,2874.61,-43.51
1420.39,1438.11,2858.5,-17.72
1434.89,1434.89,2869.78,0
1425.22,1446.97,2872.19,-21.75
1428.44,1446.17,2874.61,-17.73
1439.72,1442.94,2882.66,-3.22
1419.58,1438.11,2857.69,-18.53
1436.5,1444.56,2881.06,-8.06
1450.2,1442.94,2893.14,7.26
1452.61,1442.94,2895.55,9.67
1433.28,1435.69,2868.97,-2.41
1434.89,1447.78,2882.67,-12.89
1441.33,1445.36,2886.69,-4.03
1430.86,1443.75,2874.61,-12.89
1432.47,1456.64,2889.11,-24.17
1427.64,1448.58,2876.22,-20.94
1430.05,1431.67,2861.72,-1.62
1431.67,1459.86,2891.53,-28.19
1432.47,1433.28,2865.75,-0.81
1425.22,1441.33,2866.55,-16.11
1432.47,1441.33,2873.8,-8.86
1430.86,1451.81,2882.67,-20.95
1432.47,1442.14,2874.61,-9.67
1432.47,1444.56,2877.03,-12.09
1430.86,1451,2881.86,-20.14
1423.61,1443.75,2867.36,-20.14
1441.33,1453.42,2894.75,-12.09
1444.56,1434.89,2879.45,9.67
1426.03,1439.72,2865.75,-13.69
1439.72,1443.75,2883.47,-4.03
1430.05,1434.89,2864.94,-4.84
1430.86,1444.56,2875.42,-13.7
1434.89,1428.44,2863.33,6.45
1405.88,1438.92,2844.8,-33.04
1422,1426.03,2848.03,-4.03
1413.13,1436.5,2849.63,-23.37
1418.77,1447.78,2866.55,-29.01
1433.28,1432.47,2865.75,0.81
1430.86,1442.14,2873,-11.28
1420.39,1433.28,2853.67,-12.89
1423.61,1428.44,2852.05,-4.83
1435.69,1440.53,2876.22,-4.84
1432.47,1427.64,2860.11,4.83
1430.86,1456.64,2887.5,-25.78
1433.28,1438.11,2871.39,-4.83
1429.25,1442.14,2871.39,-12.89
1436.5,1430.05,2866.55,6.45
1430.86,1428.44,2859.3,2.42
1430.86,1430.86,2861.72,0
1438.92,1441.33,2880.25,-2.41
1441.33,1439.72,2881.05,1.61
1444.56,1439.72,2884.28,4.84
1422.8,1433.28,2856.08,-10.48
1433.28,1442.14,2875.42,-8.86
1422.8,1431.67,2854.47,-8.87
1432.47,1429.25,2861.72,3.22
1427.64,1458.25,2885.89,-30.61
1431.67,1434.08,2865.75,-2.41
1419.58,1433.28,2852.86,-13.7
1413.94,1430.86,2844.8,-16.92
1433.28,1443.75,2877.03,-10.47
1426.83,1423.61,2850.44,3.22
1435.69,1430.86,2866.55,4.83
1436.5,1441.33,2877.83,-4.83
1431.67,1446.97,2878.64,-15.3
1432.47,1438.92,2871.39,-6.45
1436.5,1443.75,2880.25,-7.25
1438.11,1403.47,2841.58,34.64
1435.69,1434.89,2870.58,0.8
1436.5,1416.36,2852.86,20.14
1430.05,1441.33,2871.38,-11.28
1439.72,1444.56,2884.28,-4.84
1430.05,1440.53,2870.58,-10.48
1430.86,1439.72,2870.58,-8.86
1415.55,1438.92,2854.47,-23.37
1418.77,1423.61,2842.38,-4.84
1428.44,1430.05,2858.49,-1.61
1425.22,1430.86,2856.08,-5.64
1416.36,1430.86,2847.22,-14.5
1430.05,1444.56,2874.61,-14.51
1415.55,1430.86,2846.41,-15.31
1426.03,1442.94,2868.97,-16.91
1417.97,1446.17,2864.14,-28.2
1413.94,1430.05,2843.99,-16.11
1420.39,1434.08,2854.47,-13.69
1425.22,1442.94,2868.16,-17.72
1409.11,1433.28,2842.39,-24.17
1417.97,1438.92,2856.89,-20.95
1417.97,1443.75,2861.72,-25.78
1408.3,1443.75,2852.05,-35.45
