right,left,light index,add,sub,light
868.51,2751.34,0,3619.85,-1882.83,150
870.92,2761.01,0,3631.93,-1890.09,150
879.79,2757.79,0,3637.58,-1878,150
870.12,2751.34,0,3621.46,-1881.22,150
859.64,2741.67,0,3601.31,-1882.03,150
868.51,2757.79,0,3626.3,-1889.28,150
858.84,2754.57,0,3613.41,-1895.73,150
865.28,2757.79,0,3623.07,-1892.51,150
870.12,2746.51,0,3616.63,-1876.39,150
863.67,2741.67,0,3605.34,-1878,150
870.12,2767.46,0,3637.58,-1897.34,150
858.84,2772.29,0,3631.13,-1913.45,150
863.67,2746.51,0,3610.18,-1882.84,150
857.23,2748.12,0,3605.35,-1890.89,150
864.48,2748.12,0,3612.6,-1883.64,150
867.7,2757.79,0,3625.49,-1890.09,150
871.73,2764.23,0,3635.96,-1892.5,150
876.56,2761.01,0,3637.57,-1884.45,150
863.67,2754.57,0,3618.24,-1890.9,150
866.89,2744.09,0,3610.98,-1877.2,150
870.92,2757.79,0,3628.71,-1886.87,150
876.56,2747.31,0,3623.87,-1870.75,150
866.89,2748.12,0,3615.01,-1881.23,150
862.87,2761.01,0,3623.88,-1898.14,150
877.37,2761.01,0,3638.38,-1883.64,150
883.81,2754.57,0,3638.38,-1870.76,150
868.51,2730.4,0,3598.91,-1861.89,150
885.42,2751.34,0,3636.76,-1865.92,150
886.23,2745.7,0,3631.93,-1859.47,150
870.12,2741.67,0,3611.79,-1871.55,150
876.56,2757.79,0,3634.35,-1881.23,150
871.73,2749.73,0,3621.46,-1878,150
871.73,2750.54,0,3622.27,-1878.81,150
883.01,2744.9,0,3627.91,-1861.89,150
870.12,2763.43,0,3633.55,-1893.31,150
870.12,2767.46,0,3637.58,-1897.34,150
883.01,2764.23,0,3647.24,-1881.22,150
879.79,2743.29,0,3623.08,-1863.5,150
876.56,2744.9,0,3621.46,-1868.34,150
870.92,2747.31,0,3618.23,-1876.39,150
877.37,2754.57,0,3631.94,-1877.2,150
876.56,2744.9,0,3621.46,-1868.34,150
874.15,2738.45,0,3612.6,-1864.3,150
876.56,2744.9,0,3621.46,-1868.34,150
873.34,2730.4,0,3603.74,-1857.06,150
