right,left,lighting led pin,add,sub,light
866.09,3105.83,0,3971.92,-2239.74,150
884.62,3076.83,0,3961.45,-2192.21,150
941.82,3189.62,0,4131.44,-2247.8,150
878.17,3092.94,0,3971.11,-2214.77,150
879.79,3092.94,0,3972.73,-2213.15,150
881.4,3099.39,0,3980.79,-2217.99,150
886.23,3060.72,0,3946.95,-2174.49,150
876.56,3080.05,0,3956.61,-2203.49,150
876.56,3092.94,0,3969.5,-2216.38,150
879.79,3092.94,0,3972.73,-2213.15,150
881.4,3076.83,0,3958.23,-2195.43,150
883.81,3076.83,0,3960.64,-2193.02,150
876.56,3073.61,0,3950.17,-2197.05,150
876.56,3089.72,0,3966.28,-2213.16,150
878.98,3076.83,0,3955.81,-2197.85,150
883.81,3067.16,0,3950.97,-2183.35,150
876.56,3092.94,0,3969.5,-2216.38,150
884.62,3076.83,0,3961.45,-2192.21,150
876.56,3080.05,0,3956.61,-2203.49,150
877.37,3041.38,0,3918.75,-2164.01,150
888.65,3063.94,0,3952.59,-2175.29,150
889.45,3053.47,0,3942.92,-2164.02,150
871.73,3080.05,0,3951.78,-2208.32,150
889.45,3059.11,0,3948.56,-2169.66,150
892.68,3047.83,0,3940.51,-2155.15,150
924.9,3170.29,0,4095.19,-2245.39,150
870.12,3080.05,0,3950.17,-2209.93,150
858.03,3086.5,0,3944.53,-2228.47,150
874.15,3067.16,0,3941.31,-2193.01,150
870.92,3055.88,0,3926.8,-2184.96,150
876.56,3060.72,0,3937.28,-2184.16,150
876.56,3067.16,0,3943.72,-2190.6,150
876.56,3073.61,0,3950.17,-2197.05,150
876.56,3080.05,0,3956.61,-2203.49,150
870.92,3084.89,0,3955.81,-2213.97,150
874.15,3067.16,0,3941.31,-2193.01,150
866.89,3054.27,0,3921.16,-2187.38,150
864.48,3055.88,0,3920.36,-2191.4,150
863.67,3059.11,0,3922.78,-2195.44,150
877.37,3034.94,0,3912.31,-2157.57,150
876.56,3055.88,0,3932.44,-2179.32,150
866.09,3057.5,0,3923.59,-2191.41,150
874.95,3080.05,0,3955,-2205.1,150
