right,left,lighting led pin,add,sub,light
861.25,2801.29,0,3662.54,-1940.04,150
837.89,2828.69,0,3666.58,-1990.8,150
837.89,2799.68,0,3637.57,-1961.79,150
804.05,2844.8,0,3648.85,-2040.75,150
804.05,2848.02,0,3652.07,-2043.97,150
835.47,2854.47,0,3689.94,-2019,150
866.89,2870.58,0,3737.47,-2003.69,150
823.39,2819.02,0,3642.41,-1995.63,150
833.06,2825.46,0,3658.52,-1992.4,150
832.25,2844.8,0,3677.05,-2012.55,150
834.67,2828.69,0,3663.36,-1994.02,150
837.89,2848.02,0,3685.91,-2010.13,150
852.39,2844.8,0,3697.19,-1992.41,150
852.39,2847.22,0,3699.61,-1994.83,150
861.25,2841.58,0,3702.83,-1980.33,150
845.95,2848.02,0,3693.97,-2002.07,150
863.67,2838.35,0,3702.02,-1974.68,150
863.67,2824.66,0,3688.33,-1960.99,150
863.67,2822.24,0,3685.91,-1958.57,150
862.06,2835.13,0,3697.19,-1973.07,150
861.25,2839.97,0,3701.22,-1978.72,150
865.28,2835.13,0,3700.41,-1969.85,150
863.67,2828.69,0,3692.36,-1965.02,150
858.03,2831.91,0,3689.94,-1973.88,150
858.03,2838.35,0,3696.38,-1980.32,150
863.67,2835.13,0,3698.8,-1971.46,150
866.09,2848.83,0,3714.92,-1982.74,150
865.28,2825.46,0,3690.74,-1960.18,150
871.73,2822.24,0,3693.97,-1950.51,150
863.67,2831.91,0,3695.58,-1968.24,150
870.92,2848.02,0,3718.94,-1977.1,150
867.7,2835.13,0,3702.83,-1967.43,150
868.51,2838.35,0,3706.86,-1969.84,150
863.67,2848.02,0,3711.69,-1984.35,150
876.56,2827.88,0,3704.44,-1951.32,150
874.15,2838.35,0,3712.5,-1964.2,150
876.56,2835.13,0,3711.69,-1958.57,150
876.56,2841.58,0,3718.14,-1965.02,150
878.17,2839.97,0,3718.14,-1961.8,150
876.56,2848.02,0,3724.58,-1971.46,150
867.7,2854.47,0,3722.17,-1986.77,150
876.56,2860.91,0,3737.47,-1984.35,150
889.45,2815.8,0,3705.25,-1926.35,150
890.26,2828.69,0,3718.95,-1938.43,150
890.26,2825.46,0,3715.72,-1935.2,150
873.34,2838.35,0,3711.69,-1965.01,150
874.15,2848.02,0,3722.17,-1973.87,150
863.67,2848.02,0,3711.69,-1984.35,150
868.51,2848.02,0,3716.53,-1979.51,150
863.67,2851.25,0,3714.92,-1987.58,150
873.34,2853.66,0,3727,-1980.32,150
863.67,2841.58,0,3705.25,-1977.91,150
878.17,2835.13,0,3713.3,-1956.96,150
889.45,2833.52,0,3722.97,-1944.07,150
865.28,2848.83,0,3714.11,-1983.55,150
869.31,2849.63,0,3718.94,-1980.32,150
886.23,2835.13,0,3721.36,-1948.9,150
881.4,2825.46,0,3706.86,-1944.06,150
877.37,2841.58,0,3718.95,-1964.21,150
874.95,2848.02,0,3722.97,-1973.07,150
879.79,2835.13,0,3714.92,-1955.34,150
867.7,2838.35,0,3706.05,-1970.65,150
867.7,2844.8,0,3712.5,-1977.1,150
881.4,2828.69,0,3710.09,-1947.29,150
889.45,2827.88,0,3717.33,-1938.43,150
873.34,2851.25,0,3724.59,-1977.91,150
885.42,2848.02,0,3733.44,-1962.6,150
876.56,2828.69,0,3705.25,-1952.13,150
863.67,2841.58,0,3705.25,-1977.91,150
872.53,2823.85,0,3696.38,-1951.32,150
873.34,2824.66,0,3698,-1951.32,150
870.92,2844.8,0,3715.72,-1973.88,150
864.48,2833.52,0,3698,-1969.04,150
876.56,2823.85,0,3700.41,-1947.29,150
867.7,2802.91,0,3670.61,-1935.21,150
874.15,2812.57,0,3686.72,-1938.42,150
870.92,2814.99,0,3685.91,-1944.07,150
876.56,2821.44,0,3698,-1944.88,150
877.37,2819.02,0,3696.39,-1941.65,150
872.53,2835.13,0,3707.66,-1962.6,150
876.56,2801.29,2,3677.85,-1924.73,30
884.62,2819.02,2,3703.64,-1934.4,30
870.12,2825.46,2,3695.58,-1955.34,30
873.34,2802.91,2,3676.25,-1929.57,30
854,2744.9,2,3598.9,-1890.9,30
833.86,2705.42,2,3539.28,-1871.56,30
829.83,2719.12,2,3548.95,-1889.29,30
837.89,2706.23,2,3544.12,-1868.34,30
823.39,2715.89,2,3539.28,-1892.5,30
802.44,2719.12,2,3521.56,-1916.68,30
837.89,2699.78,2,3537.67,-1861.89,30
837.89,2712.67,2,3550.56,-1874.78,30
845.14,2699.78,2,3544.92,-1854.64,30
850.78,2706.23,2,3557.01,-1855.45,30
837.89,2696.56,2,3534.45,-1858.67,30
848.36,2699.78,2,3548.14,-1851.42,30
854,2717.5,2,3571.5,-1863.5,30
855.62,2703,2,3558.62,-1847.38,30
854.81,2712.67,2,3567.48,-1857.86,30
847.56,2706.23,2,3553.79,-1858.67,30
863.67,2706.23,1,3569.9,-1842.56,90
845.95,2699.78,1,3545.73,-1853.83,90
858.03,2699.78,1,3557.81,-1841.75,90
876.56,2732.01,1,3608.57,-1855.45,90
903.96,2745.7,1,3649.66,-1841.74,90
902.34,2757.79,1,3660.13,-1855.45,90
912.01,2773.9,1,3685.91,-1861.89,90
899.93,2775.51,1,3675.44,-1875.58,90
903.15,2776.32,1,3679.47,-1873.17,90
915.23,2770.68,1,3685.91,-1855.45,90
907.18,2757.79,1,3664.97,-1850.61,90
913.62,2764.23,1,3677.85,-1850.61,90
908.79,2772.29,1,3681.08,-1863.5,90
899.12,2777.12,1,3676.24,-1878,90
905.57,2764.23,1,3669.8,-1858.66,90
913.62,2783.57,1,3697.19,-1869.95,90
902.34,2783.57,1,3685.91,-1881.23,90
895.09,2783.57,1,3678.66,-1888.48,90
903.96,2777.12,1,3681.08,-1873.16,90
899.12,2782.76,1,3681.88,-1883.64,90
899.12,2778.74,0,3677.86,-1879.62,150
889.45,2783.57,0,3673.02,-1894.12,150
889.45,2790.01,0,3679.46,-1900.56,150
902.34,2799.68,0,3702.02,-1897.34,150
884.62,2815.8,0,3700.42,-1931.18,150
894.29,2799.68,0,3693.97,-1905.39,150
898.32,2802.1,0,3700.42,-1903.78,150
889.45,2802.91,0,3692.36,-1913.46,150
893.48,2809.35,0,3702.83,-1915.87,150
887.84,2808.54,0,3696.38,-1920.7,150
893.48,2798.07,0,3691.55,-1904.59,150
886.23,2799.68,0,3685.91,-1913.45,150
889.45,2783.57,0,3673.02,-1894.12,150
887.04,2809.35,0,3696.39,-1922.31,150
872.53,2809.35,0,3681.88,-1936.82,150
891.06,2806.13,0,3697.19,-1915.07,150
890.26,2809.35,0,3699.61,-1919.09,150
894.29,2799.68,0,3693.97,-1905.39,150
891.06,2799.68,0,3690.74,-1908.62,150
886.23,2796.46,0,3682.69,-1910.23,150
883.81,2802.91,1,3686.72,-1919.1,90
890.26,2794.85,1,3685.11,-1904.59,90
897.51,2798.07,1,3695.58,-1900.56,90
889.45,2741.67,1,3631.12,-1852.22,90
897.51,2770.68,1,3668.19,-1873.17,90
885.42,2748.12,1,3633.54,-1862.7,90
883.81,2764.23,1,3648.04,-1880.42,90
873.34,2799.68,1,3673.02,-1926.34,90
887.04,2751.34,1,3638.38,-1864.3,90
886.23,2763.43,1,3649.66,-1877.2,90
880.59,2751.34,1,3631.93,-1870.75,90
879.79,2757.79,1,3637.58,-1878,90
886.23,2772.29,1,3658.52,-1886.06,90
876.56,2757.79,1,3634.35,-1881.23,90
883.81,2752.95,1,3636.76,-1869.14,90
876.56,2764.23,1,3640.79,-1887.67,90
884.62,2757.79,1,3642.41,-1873.17,90
879.79,2757.79,1,3637.58,-1878,90
876.56,2764.23,1,3640.79,-1887.67,90
889.45,2751.34,1,3640.79,-1861.89,90
877.37,2770.68,2,3648.05,-1893.31,30
883.01,2777.12,2,3660.13,-1894.11,30
878.98,2756.98,2,3635.96,-1878,30
860.45,2719.92,2,3580.37,-1859.47,30
845.95,2693.33,2,3539.28,-1847.38,30
847.56,2699.78,2,3547.34,-1852.22,30
834.67,2686.89,2,3521.56,-1852.22,30
841.92,2669.17,2,3511.09,-1827.25,30
831.45,2674,2,3505.45,-1842.55,30
837.89,2678.83,2,3516.72,-1840.94,30
837.89,2680.44,2,3518.33,-1842.55,30
837.89,2699.78,2,3537.67,-1861.89,30
855.62,2674,2,3529.62,-1818.38,30
850.78,2696.56,2,3547.34,-1845.78,30
851.59,2693.33,2,3544.92,-1841.74,30
858.84,2680.44,2,3539.28,-1821.6,30
855.62,2670.78,2,3526.4,-1815.16,30
855.62,2674,2,3529.62,-1818.38,30
863.67,2680.44,2,3544.11,-1816.77,30
863.67,2666.75,2,3530.42,-1803.08,30
866.89,2667.55,1,3534.44,-1800.66,90
871.73,2667.55,1,3539.28,-1795.82,90
883.01,2698.17,1,3581.18,-1815.16,90
890.26,2744.9,1,3635.16,-1854.64,90
909.59,2744.9,1,3654.49,-1835.31,90
913.62,2764.23,1,3677.85,-1850.61,90
920.07,2757.79,1,3677.86,-1837.72,90
909.59,2770.68,1,3680.27,-1861.09,90
900.73,2756.18,1,3656.91,-1855.45,90
907.98,2749.73,1,3657.71,-1841.75,90
899.93,2730.4,1,3630.33,-1830.47,90
909.59,2746.51,1,3656.1,-1836.92,90
903.96,2746.51,1,3650.47,-1842.55,90
915.23,2732.01,1,3647.24,-1816.78,90
899.93,2723.95,1,3623.88,-1824.02,90
907.98,2751.34,1,3659.32,-1843.36,90
897.51,2732.01,1,3629.52,-1834.5,90
891.87,2746.51,1,3638.38,-1854.64,90
896.7,2748.12,1,3644.82,-1851.42,90
889.45,2751.34,1,3640.79,-1861.89,90
896.7,2764.23,2,3660.93,-1867.53,30
903.96,2767.46,2,3671.42,-1863.5,30
892.68,2751.34,2,3644.02,-1858.66,30
866.09,2706.23,2,3572.32,-1840.14,30
858.84,2693.33,2,3552.17,-1834.49,30
846.75,2693.33,2,3540.08,-1846.58,30
862.06,2679.64,2,3541.7,-1817.58,30
860.45,2667.55,2,3528,-1807.1,30
863.67,2669.17,2,3532.84,-1805.5,30
857.23,2680.44,2,3537.67,-1823.21,30
855.62,2680.44,2,3536.06,-1824.82,30
857.23,2680.44,2,3537.67,-1823.21,30
855.62,2674,2,3529.62,-1818.38,30
858.03,2693.33,2,3551.36,-1835.3,30
863.67,2686.89,2,3550.56,-1823.22,30
863.67,2669.17,2,3532.84,-1805.5,30
866.89,2677.22,2,3544.11,-1810.33,30
863.67,2690.11,2,3553.78,-1826.44,30
858.03,2696.56,2,3554.59,-1838.53,30
861.25,2696.56,2,3557.81,-1835.31,30
863.67,2691.72,0,3555.39,-1828.05,150
857.23,2695.75,0,3552.98,-1838.52,150
887.84,2725.56,0,3613.4,-1837.72,150
891.87,2746.51,0,3638.38,-1854.64,150
904.76,2743.29,0,3648.05,-1838.53,150
907.18,2777.12,0,3684.3,-1869.94,150
966.8,2844.8,0,3811.6,-1878,150
910.4,2741.67,0,3652.07,-1831.27,150
899.93,2772.29,0,3672.22,-1872.36,150
900.73,2776.32,0,3677.05,-1875.59,150
896.7,2780.35,0,3677.05,-1883.65,150
