right,left,lighting led pin,add,sub,light
876.56,2923.75,0,3800.31,-2047.19,150
878.17,2923.75,0,3801.92,-2045.58,150
876.56,2912.48,0,3789.04,-2035.92,150
882.2,2912.48,0,3794.68,-2030.28,150
889.45,2923.75,0,3813.2,-2034.3,150
876.56,2925.37,0,3801.93,-2048.81,150
876.56,2944.7,0,3821.26,-2068.14,150
889.45,2926.98,0,3816.43,-2037.53,150
892.68,2912.48,0,3805.16,-2019.8,150
881.4,2886.69,0,3768.09,-2005.29,150
889.45,2912.48,0,3801.93,-2023.03,150
879.79,2922.14,0,3801.93,-2042.35,150
876.56,2909.25,0,3785.81,-2032.69,150
878.17,2931.81,0,3809.98,-2053.64,150
886.23,2906.03,0,3792.26,-2019.8,150
881.4,2922.14,0,3803.54,-2040.74,150
876.56,2915.7,0,3792.26,-2039.14,150
889.45,2922.14,0,3811.59,-2032.69,150
879.79,2904.42,0,3784.21,-2024.63,150
887.04,2902.81,0,3789.85,-2015.77,150
887.84,2912.48,0,3800.32,-2024.64,150
883.81,2918.92,0,3802.73,-2035.11,150
871.73,2909.25,0,3780.98,-2037.52,150
876.56,2912.48,0,3789.04,-2035.92,150
879.79,2886.69,0,3766.48,-2006.9,150
876.56,2906.03,0,3782.59,-2029.47,150
871.73,2918.92,0,3790.65,-2047.19,150
887.04,2886.69,0,3773.73,-1999.65,150
883.81,2886.69,0,3770.5,-2002.88,150
889.45,2905.22,0,3794.67,-2015.77,150
889.45,2918.92,0,3808.37,-2029.47,150
878.17,2922.14,0,3800.31,-2043.97,150
889.45,2906.03,0,3795.48,-2016.58,150
879.79,2901.2,0,3780.99,-2021.41,150
876.56,2886.69,0,3763.25,-2010.13,150
884.62,2918.92,0,3803.54,-2034.3,150
889.45,2906.03,0,3795.48,-2016.58,150
890.26,2886.69,0,3776.95,-1996.43,150
896.7,2912.48,0,3809.18,-2015.78,150
889.45,2910.86,0,3800.31,-2021.41,150
892.68,2906.03,0,3798.71,-2013.35,150
890.26,2886.69,0,3776.95,-1996.43,150
894.29,2925.37,0,3819.66,-2031.08,150
891.87,2886.69,0,3778.56,-1994.82,150
892.68,2912.48,0,3805.16,-2019.8,150
889.45,2915.7,0,3805.15,-2026.25,150
891.87,2931.81,0,3823.68,-2039.94,150
900.73,2902.81,0,3803.54,-2002.08,150
889.45,2912.48,0,3801.93,-2023.03,150
883.01,2918.92,0,3801.93,-2035.91,150
884.62,2912.48,0,3797.1,-2027.86,150
871.73,2886.69,0,3758.42,-2014.96,150
883.01,2906.03,0,3789.04,-2023.02,150
889.45,2902.81,0,3792.26,-2013.36,150
883.01,2915.7,0,3798.71,-2032.69,150
878.17,2886.69,0,3764.86,-2008.52,150
881.4,2886.69,0,3768.09,-2005.29,150
883.81,2912.48,0,3796.29,-2028.67,150
876.56,2886.69,0,3763.25,-2010.13,150
878.17,2886.69,0,3764.86,-2008.52,150
878.17,2886.69,0,3764.86,-2008.52,150
868.51,2902.81,0,3771.32,-2034.3,150
878.98,2873.8,0,3752.78,-1994.82,150
881.4,2886.69,0,3768.09,-2005.29,150
887.04,2865.75,0,3752.79,-1978.71,150
883.01,2886.69,0,3769.7,-2003.68,150
881.4,2883.47,0,3764.87,-2002.07,150
876.56,2886.69,0,3763.25,-2010.13,150
874.15,2880.25,0,3754.4,-2006.1,150
880.59,2867.36,0,3747.95,-1986.77,150
886.23,2883.47,0,3769.7,-1997.24,150
876.56,2906.03,0,3782.59,-2029.47,150
889.45,2902.81,0,3792.26,-2013.36,150
879.79,2906.03,0,3785.82,-2026.24,150
888.65,2886.69,0,3775.34,-1998.04,150
876.56,2874.61,0,3751.17,-1998.05,150
868.51,2886.69,0,3755.2,-2018.18,150
876.56,2886.69,0,3763.25,-2010.13,150
874.95,2917.31,0,3792.26,-2042.36,150
874.15,2877.03,0,3751.18,-2002.88,150
865.28,2912.48,2,3777.76,-2047.2,30
876.56,2912.48,2,3789.04,-2035.92,30
887.04,2931.81,2,3818.85,-2044.77,30
863.67,2831.91,2,3695.58,-1968.24,30
835.47,2809.35,2,3644.82,-1973.88,30
837.89,2790.01,2,3627.9,-1952.12,30
839.5,2767.46,2,3606.96,-1927.96,30
838.7,2775.51,2,3614.21,-1936.81,30
849.17,2783.57,2,3632.74,-1934.4,30
851.59,2783.57,2,3635.16,-1931.98,30
837.89,2773.1,2,3610.99,-1935.21,30
841.11,2770.68,2,3611.79,-1929.57,30
844.34,2777.12,2,3621.46,-1932.78,30
828.22,2793.24,2,3621.46,-1965.02,30
852.39,2783.57,2,3635.96,-1931.18,30
839.5,2780.35,2,3619.85,-1940.85,30
863.67,2764.23,2,3627.9,-1900.56,30
854.81,2777.12,2,3631.93,-1922.31,30
852.39,2782.76,2,3635.15,-1930.37,30
850.78,2773.9,2,3624.68,-1923.12,30
877.37,2783.57,1,3660.94,-1906.2,90
863.67,2798.07,1,3661.74,-1934.4,90
