right,left,lighting led pin,add,sub,light
897.51,2877.03,0,3774.54,-1979.52,150
892.68,2878.64,0,3771.32,-1985.96,150
899.12,2902.81,0,3801.93,-2003.69,150
902.34,2918.92,0,3821.26,-2016.58,150
887.84,2886.69,0,3774.53,-1998.85,150
889.45,2912.48,0,3801.93,-2023.03,150
902.34,2886.69,0,3789.03,-1984.35,150
889.45,2909.25,0,3798.7,-2019.8,150
881.4,2886.69,0,3768.09,-2005.29,150
878.98,2905.22,0,3784.2,-2026.24,150
887.04,2906.03,0,3793.07,-2018.99,150
887.84,2904.42,0,3792.26,-2016.58,150
876.56,2886.69,0,3763.25,-2010.13,150
900.73,2886.69,0,3787.42,-1985.96,150
889.45,2886.69,0,3776.14,-1997.24,150
881.4,2912.48,0,3793.88,-2031.08,150
873.34,2879.44,0,3752.78,-2006.1,150
884.62,2902.81,0,3787.43,-2018.19,150
889.45,2909.25,0,3798.7,-2019.8,150
891.06,2922.14,0,3813.2,-2031.08,150
887.04,2909.25,0,3796.29,-2022.21,150
889.45,2902.81,0,3792.26,-2013.36,150
883.01,2886.69,0,3769.7,-2003.68,150
891.06,2911.67,0,3802.73,-2020.61,150
885.42,2902.81,0,3788.23,-2017.39,150
878.17,2886.69,0,3764.86,-2008.52,150
876.56,2906.03,0,3782.59,-2029.47,150
884.62,2886.69,0,3771.31,-2002.07,150
884.62,2906.03,0,3790.65,-2021.41,150
886.23,2886.69,0,3772.92,-2000.46,150
884.62,2886.69,0,3771.31,-2002.07,150
883.81,2886.69,0,3770.5,-2002.88,150
863.67,2886.69,0,3750.36,-2023.02,150
870.92,2885.08,0,3756,-2014.16,150
871.73,2875.42,0,3747.15,-2003.69,150
872.53,2886.69,0,3759.22,-2014.16,150
881.4,2886.69,0,3768.09,-2005.29,150
876.56,2918.92,0,3795.48,-2042.36,150
886.23,2877.03,0,3763.26,-1990.8,150
884.62,2918.92,0,3803.54,-2034.3,150
881.4,2886.69,0,3768.09,-2005.29,150
883.81,2886.69,0,3770.5,-2002.88,150
877.37,2880.25,0,3757.62,-2002.88,150
886.23,2902.81,0,3789.04,-2016.58,150
876.56,2886.69,0,3763.25,-2010.13,150
883.81,2883.47,0,3767.28,-1999.66,150
889.45,2886.69,0,3776.14,-1997.24,150
889.45,2886.69,0,3776.14,-1997.24,150
896.7,2886.69,0,3783.39,-1989.99,150
882.2,2886.69,0,3768.89,-2004.49,150
883.81,2905.22,0,3789.03,-2021.41,150
887.04,2886.69,0,3773.73,-1999.65,150
876.56,2902.81,0,3779.37,-2026.25,150
883.01,2886.69,0,3769.7,-2003.68,150
883.01,2886.69,0,3769.7,-2003.68,150
889.45,2875.42,0,3764.87,-1985.97,150
887.84,2902.81,0,3790.65,-2014.97,150
879.79,2909.25,0,3789.04,-2029.46,150
878.98,2880.25,0,3759.23,-2001.27,150
883.01,2902,0,3785.01,-2018.99,150
876.56,2902.81,0,3779.37,-2026.25,150
883.81,2886.69,0,3770.5,-2002.88,150
878.17,2875.42,0,3753.59,-1997.25,150
881.4,2877.03,0,3758.43,-1995.63,150
882.2,2886.69,0,3768.89,-2004.49,150
889.45,2885.08,0,3774.53,-1995.63,150
889.45,2886.69,0,3776.14,-1997.24,150
887.84,2886.69,0,3774.53,-1998.85,150
893.48,2918.12,0,3811.6,-2024.64,150
894.29,2886.69,0,3780.98,-1992.4,150
889.45,2880.25,0,3769.7,-1990.8,150
887.84,2875.42,0,3763.26,-1987.58,150
880.59,2886.69,0,3767.28,-2006.1,150
889.45,2886.69,0,3776.14,-1997.24,150
879.79,2886.69,0,3766.48,-2006.9,150
889.45,2886.69,0,3776.14,-1997.24,150
902.34,2917.31,0,3819.65,-2014.97,150
898.32,2909.25,0,3807.57,-2010.93,150
887.04,2918.92,0,3805.96,-2031.88,150
889.45,2886.69,0,3776.14,-1997.24,150
891.87,2928.59,1,3820.46,-2036.72,90
892.68,2918.92,1,3811.6,-2026.24,90
889.45,2902.81,1,3792.26,-2013.36,90
876.56,2923.75,1,3800.31,-2047.19,90
878.17,2915.7,1,3793.87,-2037.53,90
887.84,2886.69,1,3774.53,-1998.85,90
879.79,2886.69,1,3766.48,-2006.9,90
887.84,2886.69,1,3774.53,-1998.85,90
889.45,2886.69,1,3776.14,-1997.24,90
886.23,2886.69,1,3772.92,-2000.46,90
892.68,2912.48,1,3805.16,-2019.8,90
897.51,2906.03,1,3803.54,-2008.52,90
907.98,2886.69,1,3794.67,-1978.71,90
908.79,2902.81,1,3811.6,-1994.02,90
912.01,2902.81,1,3814.82,-1990.8,90
898.32,2904.42,1,3802.74,-2006.1,90
900.73,2910.86,1,3811.59,-2010.13,90
899.93,2906.03,1,3805.96,-2006.1,90
906.37,2909.25,1,3815.62,-2002.88,90
908.79,2910.86,1,3819.65,-2002.07,90
895.09,2906.03,2,3801.12,-2010.94,30
903.15,2925.37,2,3828.52,-2022.22,30
