right,left,lighting led pin,add,sub,light
878.17,2677.22,0,3555.39,-1799.05,150
887.84,2677.22,0,3565.06,-1789.38,150
876.56,2680.44,0,3557,-1803.88,150
877.37,2686.89,0,3564.26,-1809.52,150
868.51,2685.28,0,3553.79,-1816.77,150
854.81,2693.33,0,3548.14,-1838.52,150
871.73,2674,0,3545.73,-1802.27,150
866.89,2661.11,0,3528,-1794.22,150
867.7,2677.22,0,3544.92,-1809.52,150
876.56,2680.44,0,3557,-1803.88,150
876.56,2645,0,3521.56,-1768.44,150
898.32,2622.44,0,3520.76,-1724.12,150
867.7,2680.44,0,3548.14,-1812.74,150
870.92,2670.78,0,3541.7,-1799.86,150
870.12,2680.44,0,3550.56,-1810.32,150
866.09,2674,0,3540.09,-1807.91,150
870.12,2672.39,0,3542.51,-1802.27,150
869.31,2661.11,0,3530.42,-1791.8,150
876.56,2661.11,0,3537.67,-1784.55,150
867.7,2680.44,0,3548.14,-1812.74,150
863.67,2686.89,0,3550.56,-1823.22,150
867.7,2670.78,0,3538.48,-1803.08,150
876.56,2672.39,0,3548.95,-1795.83,150
867.7,2680.44,0,3548.14,-1812.74,150
863.67,2645,0,3508.67,-1781.33,150
876.56,2646.61,0,3523.17,-1770.05,150
868.51,2659.5,0,3528.01,-1790.99,150
867.7,2667.55,0,3535.25,-1799.85,150
876.56,2654.66,0,3531.22,-1778.1,150
867.7,2668.36,0,3536.06,-1800.66,150
880.59,2654.66,0,3535.25,-1774.07,150
881.4,2672.39,0,3553.79,-1790.99,150
882.2,2661.11,0,3543.31,-1778.91,150
878.17,2653.86,0,3532.03,-1775.69,150
873.34,2677.22,0,3550.56,-1803.88,150
876.56,2669.17,0,3545.73,-1792.61,150
866.89,2664.33,0,3531.22,-1797.44,150
884.62,2654.66,0,3539.28,-1770.04,150
884.62,2653.86,0,3538.48,-1769.24,150
883.01,2654.66,0,3537.67,-1771.65,150
878.17,2668.36,0,3546.53,-1790.19,150
874.95,2659.5,0,3534.45,-1784.55,150
876.56,2664.33,0,3540.89,-1787.77,150
889.45,2667.55,0,3557,-1778.1,150
883.81,2654.66,0,3538.47,-1770.85,150
889.45,2660.3,0,3549.75,-1770.85,150
892.68,2647.41,0,3540.09,-1754.73,150
880.59,2667.55,0,3548.14,-1786.96,150
883.81,2669.17,0,3552.98,-1785.36,150
883.01,2648.22,0,3531.23,-1765.21,150
876.56,2668.36,0,3544.92,-1791.8,150
876.56,2672.39,0,3548.95,-1795.83,150
874.15,2674,0,3548.15,-1799.85,150
874.15,2680.44,0,3554.59,-1806.29,150
876.56,2680.44,0,3557,-1803.88,150
868.51,2664.33,0,3532.84,-1795.82,150
876.56,2654.66,0,3531.22,-1778.1,150
878.98,2674,0,3552.98,-1795.02,150
870.92,2674,0,3544.92,-1803.08,150
880.59,2674,0,3554.59,-1793.41,150
871.73,2661.11,0,3532.84,-1789.38,150
873.34,2680.44,0,3553.78,-1807.1,150
908.79,2736.84,0,3645.63,-1828.05,150
904.76,2670.78,0,3575.54,-1766.02,150
883.81,2667.55,0,3551.36,-1783.74,150
879.79,2661.11,0,3540.9,-1781.32,150
878.98,2669.17,0,3548.15,-1790.19,150
887.84,2669.17,0,3557.01,-1781.33,150
887.84,2670.78,0,3558.62,-1782.94,150
879.79,2667.55,0,3547.34,-1787.76,150
878.98,2664.33,0,3543.31,-1785.35,150
878.98,2648.22,0,3527.2,-1769.24,150
889.45,2669.17,0,3558.62,-1779.72,150
895.9,2643.38,0,3539.28,-1747.48,150
889.45,2654.66,0,3544.11,-1765.21,150
880.59,2680.44,0,3561.03,-1799.85,150
889.45,2680.44,0,3569.89,-1790.99,150
881.4,2680.44,0,3561.84,-1799.04,150
885.42,2679.64,0,3565.06,-1794.22,150
887.84,2667.55,0,3555.39,-1779.71,150
876.56,2680.44,2,3557,-1803.88,30
889.45,2680.44,2,3569.89,-1790.99,30
