right,left,lighting led pin,add,sub,light
889.45,2999.49,0,3888.94,-2110.04,150
876.56,3044.6,0,3921.16,-2168.04,150
878.17,3018.82,0,3896.99,-2140.65,150
916.85,3055.88,0,3972.73,-2139.03,150
880.59,3009.16,0,3889.75,-2128.57,150
870.12,3012.38,0,3882.5,-2142.26,150
876.56,3002.71,0,3879.27,-2126.15,150
863.67,3009.16,0,3872.83,-2145.49,150
870.92,3001.1,0,3872.02,-2130.18,150
876.56,3009.16,0,3885.72,-2132.6,150
868.51,2989.82,0,3858.33,-2121.31,150
877.37,3004.32,0,3881.69,-2126.95,150
870.12,3009.16,0,3879.28,-2139.04,150
877.37,3002.71,0,3880.08,-2125.34,150
877.37,2996.26,0,3873.63,-2118.89,150
872.53,3005.93,0,3878.46,-2133.4,150
877.37,3009.16,0,3886.53,-2131.79,150
886.23,2989.82,0,3876.05,-2103.59,150
874.95,3004.32,0,3879.27,-2129.37,150
878.17,3015.6,0,3893.77,-2137.43,150
876.56,3015.6,0,3892.16,-2139.04,150
882.2,3015.6,0,3897.8,-2133.4,150
878.98,3015.6,0,3894.58,-2136.62,150
887.84,3018.82,0,3906.66,-2130.98,150
887.84,3004.32,0,3892.16,-2116.48,150
886.23,3022.05,0,3908.28,-2135.82,150
881.4,3028.49,0,3909.89,-2147.09,150
889.45,3041.38,0,3930.83,-2151.93,150
892.68,3009.16,0,3901.84,-2116.48,150
892.68,3015.6,0,3908.28,-2122.92,150
884.62,2996.26,0,3880.88,-2111.64,150
883.01,3013.99,0,3897,-2130.98,150
877.37,3028.49,0,3905.86,-2151.12,150
886.23,3009.16,0,3895.39,-2122.93,150
880.59,3015.6,0,3896.19,-2135.01,150
893.48,3031.71,0,3925.19,-2138.23,150
891.87,3002.71,0,3894.58,-2110.84,150
896.7,2996.26,0,3892.96,-2099.56,150
886.23,3022.05,0,3908.28,-2135.82,150
902.34,3025.27,0,3927.61,-2122.93,150
895.9,3022.05,0,3917.95,-2126.15,150
889.45,3022.05,0,3911.5,-2132.6,150
876.56,3030.1,0,3906.66,-2153.54,150
881.4,3022.05,0,3903.45,-2140.65,150
891.06,3002.71,0,3893.77,-2111.65,150
887.84,3015.6,0,3903.44,-2127.76,150
886.23,3034.94,0,3921.17,-2148.71,150
899.12,3015.6,0,3914.72,-2116.48,150
889.45,3012.38,0,3901.83,-2122.93,150
889.45,3015.6,0,3905.05,-2126.15,150
887.84,3028.49,0,3916.33,-2140.65,150
