right,left,lighting led pin,add,sub,light
902.34,2860.91,0,3763.25,-1958.57,150
885.42,2886.69,0,3772.11,-2001.27,150
873.34,2906.03,0,3779.37,-2032.69,150
923.29,2976.93,0,3900.22,-2053.64,150
932.15,2851.25,0,3783.4,-1919.1,150
899.12,2873.8,0,3772.92,-1974.68,150
889.45,2877.03,0,3766.48,-1987.58,150
881.4,2906.03,0,3787.43,-2024.63,150
874.15,2912.48,0,3786.63,-2038.33,150
884.62,2925.37,0,3809.99,-2040.75,150
889.45,2923.75,0,3813.2,-2034.3,150
889.45,2886.69,0,3776.14,-1997.24,150
893.48,2902.81,0,3796.29,-2009.33,150
889.45,2885.08,0,3774.53,-1995.63,150
877.37,2873.8,0,3751.17,-1996.43,150
881.4,2867.36,0,3748.76,-1985.96,150
871.73,2878.64,0,3750.37,-2006.91,150
858.03,2886.69,0,3744.72,-2028.66,150
878.17,2867.36,0,3745.53,-1989.19,150
866.89,2870.58,0,3737.47,-2003.69,150
870.12,2844.8,0,3714.92,-1974.68,150
871.73,2835.13,0,3706.86,-1963.4,150
866.89,2825.46,0,3692.35,-1958.57,150
860.45,2823.85,0,3684.3,-1963.4,150
865.28,2825.46,0,3690.74,-1960.18,150
868.51,2821.44,0,3689.95,-1952.93,150
866.89,2799.68,0,3666.57,-1932.79,150
847.56,2828.69,0,3676.25,-1981.13,150
865.28,2822.24,0,3687.52,-1956.96,150
879.79,2840.77,0,3720.56,-1960.98,150
876.56,2809.35,0,3685.91,-1932.79,150
878.17,2825.46,0,3703.63,-1947.29,150
874.15,2806.13,0,3680.28,-1931.98,150
876.56,2835.13,0,3711.69,-1958.57,150
865.28,2857.69,0,3722.97,-1992.41,150
863.67,2854.47,0,3718.14,-1990.8,150
865.28,2850.44,0,3715.72,-1985.16,150
858.84,2848.02,0,3706.86,-1989.18,150
863.67,2848.02,0,3711.69,-1984.35,150
867.7,2835.13,0,3702.83,-1967.43,150
876.56,2840.77,0,3717.33,-1964.21,150
876.56,2822.24,0,3698.8,-1945.68,150
874.15,2823.85,0,3698,-1949.7,150
873.34,2828.69,0,3702.03,-1955.35,150
874.95,2828.69,0,3703.64,-1953.74,150
870.92,2828.69,0,3699.61,-1957.77,150
876.56,2822.24,0,3698.8,-1945.68,150
873.34,2828.69,0,3702.03,-1955.35,150
861.25,2823.85,0,3685.1,-1962.6,150
878.17,2802.91,0,3681.08,-1924.74,150
876.56,2798.07,0,3674.63,-1921.51,150
872.53,2788.4,0,3660.93,-1915.87,150
876.56,2790.01,0,3666.57,-1913.45,150
879.79,2799.68,0,3679.47,-1919.89,150
871.73,2796.46,0,3668.19,-1924.73,150
871.73,2798.88,0,3670.61,-1927.15,150
876.56,2812.57,0,3689.13,-1936.01,150
876.56,2825.46,0,3702.02,-1948.9,150
883.81,2835.13,0,3718.94,-1951.32,150
883.81,2839.97,0,3723.78,-1956.16,150
877.37,2841.58,0,3718.95,-1964.21,150
881.4,2802.91,0,3684.31,-1921.51,150
873.34,2831.91,0,3705.25,-1958.57,150
876.56,2828.69,0,3705.25,-1952.13,150
889.45,2796.46,0,3685.91,-1907.01,150
877.37,2825.46,0,3702.83,-1948.09,150
879.79,2823.05,0,3702.84,-1943.26,150
887.04,2815.8,0,3702.84,-1928.76,150
882.2,2828.69,0,3710.89,-1946.49,150
879.79,2825.46,0,3705.25,-1945.67,150
883.81,2809.35,0,3693.16,-1925.54,150
891.06,2822.24,0,3713.3,-1931.18,150
886.23,2819.02,0,3705.25,-1932.79,150
884.62,2831.91,0,3716.53,-1947.29,150
885.42,2825.46,0,3710.88,-1940.04,150
882.2,2819.02,0,3701.22,-1936.82,150
889.45,2815.8,0,3705.25,-1926.35,150
889.45,2815.8,0,3705.25,-1926.35,150
892.68,2827.08,0,3719.76,-1934.4,150
891.87,2812.57,0,3704.44,-1920.7,150
941.02,2886.69,2,3827.71,-1945.67,30
904.76,2807.74,2,3712.5,-1902.98,30
889.45,2825.46,2,3714.91,-1936.01,30
899.12,2819.02,2,3718.14,-1919.9,30
865.28,2835.13,2,3700.41,-1969.85,30
866.89,2693.33,2,3560.22,-1826.44,30
874.95,2699.78,2,3574.73,-1824.83,30
889.45,2680.44,2,3569.89,-1790.99,30
873.34,2719.12,2,3592.46,-1845.78,30
867.7,2748.12,2,3615.82,-1880.42,30
864.48,2754.57,2,3619.05,-1890.09,30
855.62,2756.18,2,3611.8,-1900.56,30
857.23,2771.48,2,3628.71,-1914.25,30
860.45,2770.68,2,3631.13,-1910.23,30
852.39,2783.57,2,3635.96,-1931.18,30
863.67,2769.07,2,3632.74,-1905.4,30
864.48,2767.46,2,3631.94,-1902.98,30
854.81,2764.23,2,3619.04,-1909.42,30
860.45,2757.79,2,3618.24,-1897.34,30
858.84,2773.9,2,3632.74,-1915.06,30
862.06,2764.23,1,3626.29,-1902.17,90
865.28,2764.23,1,3629.51,-1898.95,90
866.89,2770.68,1,3637.57,-1903.79,90
858.84,2835.13,1,3693.97,-1976.29,90
922.49,2790.01,1,3712.5,-1867.52,90
907.98,2831.91,1,3739.89,-1923.93,90
909.59,2831.91,1,3741.5,-1922.32,90
913.62,2831.91,1,3745.53,-1918.29,90
915.23,2854.47,1,3769.7,-1939.24,90
905.57,2848.02,1,3753.59,-1942.45,90
915.23,2846.41,1,3761.64,-1931.18,90
918.46,2857.69,1,3776.15,-1939.23,90
915.23,2864.14,1,3779.37,-1948.91,90
915.23,2851.25,1,3766.48,-1936.02,90
903.96,2847.22,1,3751.18,-1943.26,90
908.79,2860.91,1,3769.7,-1952.12,90
902.34,2864.14,1,3766.48,-1961.8,90
894.29,2875.42,1,3769.71,-1981.13,90
900.73,2872.19,1,3772.92,-1971.46,90
905.57,2846.41,1,3751.98,-1940.84,90
899.93,2849.63,0,3749.56,-1949.7,150
902.34,2854.47,0,3756.81,-1952.13,150
908.79,2877.03,0,3785.82,-1968.24,150
905.57,2925.37,0,3830.94,-2019.8,150
916.04,2902.81,0,3818.85,-1986.77,150
907.18,2909.25,0,3816.43,-2002.07,150
894.29,2906.03,0,3800.32,-2011.74,150
903.96,2906.03,0,3809.99,-2002.07,150
894.29,2886.69,0,3780.98,-1992.4,150
892.68,2902,0,3794.68,-2009.32,150
886.23,2885.08,0,3771.31,-1998.85,150
887.04,2886.69,0,3773.73,-1999.65,150
897.51,2870.58,0,3768.09,-1973.07,150
889.45,2886.69,0,3776.14,-1997.24,150
892.68,2886.69,0,3779.37,-1994.01,150
895.09,2883.47,0,3778.56,-1988.38,150
889.45,2906.03,0,3795.48,-2016.58,150
895.9,2906.03,0,3801.93,-2010.13,150
900.73,2902.81,0,3803.54,-2002.08,150
884.62,2905.22,0,3789.84,-2020.6,150
902.34,2886.69,1,3789.03,-1984.35,90
889.45,2883.47,1,3772.92,-1994.02,90
898.32,2886.69,1,3785.01,-1988.37,90
902.34,2848.83,1,3751.17,-1946.49,90
895.9,2867.36,1,3763.26,-1971.46,90
887.04,2860.91,1,3747.95,-1973.87,90
878.17,2860.91,1,3739.08,-1982.74,90
892.68,2848.02,1,3740.7,-1955.34,90
900.73,2857.69,1,3758.42,-1956.96,90
899.12,2841.58,1,3740.7,-1942.46,90
887.04,2864.14,1,3751.18,-1977.1,90
887.84,2857.69,1,3745.53,-1969.85,90
895.9,2870.58,1,3766.48,-1974.68,90
898.32,2873.8,1,3772.12,-1975.48,90
899.93,2886.69,1,3786.62,-1986.76,90
902.34,2886.69,1,3789.03,-1984.35,90
