right,left,lighting led pin,add,sub,light
892.68,3085.69,0,3978.37,-2193.01,150
892.68,3083.28,0,3975.96,-2190.6,150
895.9,3067.16,0,3963.06,-2171.26,150
889.45,3086.5,0,3975.95,-2197.05,150
903.15,3110.67,0,4013.82,-2207.52,150
889.45,3104.22,0,3993.67,-2214.77,150
912.01,3092.94,0,4004.95,-2180.93,150
902.34,3076.83,0,3979.17,-2174.49,150
889.45,3089.72,1,3979.17,-2200.27,90
883.81,3083.28,1,3967.09,-2199.47,90
889.45,3080.05,1,3969.5,-2190.6,90
891.06,3060.72,1,3951.78,-2169.66,90
889.45,3054.27,1,3943.72,-2164.82,90
886.23,3047.83,1,3934.06,-2161.6,90
883.81,3031.71,1,3915.52,-2147.9,90
889.45,3028.49,1,3917.94,-2139.04,90
889.45,3063.94,1,3953.39,-2174.49,90
884.62,3047.83,1,3932.45,-2163.21,90
878.98,3041.38,1,3920.36,-2162.4,90
887.04,3041.38,1,3928.42,-2154.34,90
890.26,3041.38,1,3931.64,-2151.12,90
881.4,3063.94,1,3945.34,-2182.54,90
890.26,3057.5,1,3947.76,-2167.24,90
887.04,3057.5,1,3944.54,-2170.46,90
891.87,3044.6,1,3936.47,-2152.73,90
887.84,3055.88,1,3943.72,-2168.04,90
885.42,3057.5,1,3942.92,-2172.08,90
887.04,3060.72,1,3947.76,-2173.68,90
889.45,3080.05,2,3969.5,-2190.6,30
881.4,3073.61,2,3955.01,-2192.21,30
878.17,3047.83,2,3926,-2169.66,30
858.84,3004.32,2,3863.16,-2145.48,30
863.67,3020.43,2,3884.1,-2156.76,30
854.81,2989.82,2,3844.63,-2135.01,30
862.06,2996.26,2,3858.32,-2134.2,30
857.23,3001.9,2,3859.13,-2144.67,30
851.59,3002.71,2,3854.3,-2151.12,30
864.48,3002.71,2,3867.19,-2138.23,30
859.64,3002.71,2,3862.35,-2143.07,30
868.51,2996.26,2,3864.77,-2127.75,30
862.06,2999.49,2,3861.55,-2137.43,30
869.31,3002.71,2,3872.02,-2133.4,30
863.67,2986.6,2,3850.27,-2122.93,30
863.67,2996.26,2,3859.93,-2132.59,30
870.12,2989.82,2,3859.94,-2119.7,30
866.89,2999.49,2,3866.38,-2132.6,30
874.15,2989.82,2,3863.97,-2115.67,30
864.48,2999.49,2,3863.97,-2135.01,30
864.48,2986.6,0,3851.08,-2122.12,150
860.45,2964.04,0,3824.49,-2103.59,150
863.67,3031.71,0,3895.38,-2168.04,150
919.26,3060.72,0,3979.98,-2141.46,150
903.96,3065.55,0,3969.51,-2161.59,150
899.12,3080.05,0,3979.17,-2180.93,150
903.15,3067.16,0,3970.31,-2164.01,150
899.12,3060.72,0,3959.84,-2161.6,150
902.34,3054.27,0,3956.61,-2151.93,150
900.73,3066.36,0,3967.09,-2165.63,150
892.68,3070.39,0,3963.07,-2177.71,150
896.7,3067.16,0,3963.86,-2170.46,150
896.7,3089.72,0,3986.42,-2193.02,150
895.9,3055.88,0,3951.78,-2159.98,150
905.57,3057.5,0,3963.07,-2151.93,150
897.51,3076.83,0,3974.34,-2179.32,150
892.68,3070.39,0,3963.07,-2177.71,150
889.45,3091.33,0,3980.78,-2201.88,150
889.45,3086.5,0,3975.95,-2197.05,150
903.15,3041.38,0,3944.53,-2138.23,150
898.32,3086.5,2,3984.82,-2188.18,30
891.87,3092.94,2,3984.81,-2201.07,30
895.9,3059.11,2,3955.01,-2163.21,30
870.92,2983.37,2,3854.29,-2112.45,30
868.51,2983.37,2,3851.88,-2114.86,30
860.45,2996.26,2,3856.71,-2135.81,30
868.51,2989.82,2,3858.33,-2121.31,30
878.17,2996.26,2,3874.43,-2118.09,30
869.31,2989.82,2,3859.13,-2120.51,30
873.34,2989.82,2,3863.16,-2116.48,30
869.31,2983.37,2,3852.68,-2114.06,30
868.51,2970.48,2,3838.99,-2101.97,30
873.34,2980.15,2,3853.49,-2106.81,30
880.59,2975.32,2,3855.91,-2094.73,30
876.56,2980.15,2,3856.71,-2103.59,30
866.89,2976.93,2,3843.82,-2110.04,30
870.92,2973.71,2,3844.63,-2102.79,30
876.56,2986.6,2,3863.16,-2110.04,30
881.4,2983.37,2,3864.77,-2101.97,30
883.81,3002.71,2,3886.52,-2118.9,30
876.56,2978.54,1,3855.1,-2101.98,90
887.04,2969.68,1,3856.72,-2082.64,90
903.96,3055.88,1,3959.84,-2151.92,90
907.18,3076.83,1,3984.01,-2169.65,90
913.62,3080.05,1,3993.67,-2166.43,90
935.38,3012.38,1,3947.76,-2077,90
950.68,3031.71,1,3982.39,-2081.03,90
918.46,3034.94,1,3953.4,-2116.48,90
907.18,3015.6,1,3922.78,-2108.42,90
900.73,3031.71,1,3932.44,-2130.98,90
889.45,3047.83,1,3937.28,-2158.38,90
900.73,3031.71,1,3932.44,-2130.98,90
896.7,3022.05,1,3918.75,-2125.35,90
894.29,3030.1,1,3924.39,-2135.81,90
894.29,3028.49,1,3922.78,-2134.2,90
887.04,3028.49,1,3915.53,-2141.45,90
889.45,3028.49,1,3917.94,-2139.04,90
891.06,3025.27,1,3916.33,-2134.21,90
903.15,2982.57,1,3885.72,-2079.42,90
896.7,2996.26,1,3892.96,-2099.56,90
902.34,3012.38,0,3914.72,-2110.04,150
881.4,3030.1,0,3911.5,-2148.7,150
868.51,3057.5,0,3926.01,-2188.99,150
881.4,3041.38,0,3922.78,-2159.98,150
887.04,3041.38,0,3928.42,-2154.34,150
889.45,3015.6,0,3905.05,-2126.15,150
894.29,3034.94,0,3929.23,-2140.65,150
892.68,3041.38,0,3934.06,-2148.7,150
891.06,3041.38,0,3932.44,-2150.32,150
888.65,3051.05,0,3939.7,-2162.4,150
876.56,3041.38,0,3917.94,-2164.82,150
953.91,3144.51,0,4098.42,-2190.6,150
890.26,3047.83,0,3938.09,-2157.57,150
889.45,3056.69,0,3946.14,-2167.24,150
889.45,3041.38,0,3930.83,-2151.93,150
873.34,3054.27,0,3927.61,-2180.93,150
876.56,3053.47,0,3930.03,-2176.91,150
889.45,3030.1,0,3919.55,-2140.65,150
892.68,3013.99,0,3906.67,-2121.31,150
889.45,3041.38,0,3930.83,-2151.93,150
882.2,3057.5,1,3939.7,-2175.3,90
884.62,3038.16,1,3922.78,-2153.54,90
876.56,3028.49,1,3905.05,-2151.93,90
889.45,3009.16,1,3898.61,-2119.71,90
889.45,3009.16,1,3898.61,-2119.71,90
880.59,3005.93,1,3886.52,-2125.34,90
878.98,3004.32,1,3883.3,-2125.34,90
891.06,3012.38,1,3903.44,-2121.32,90
889.45,2978.54,1,3867.99,-2089.09,90
881.4,2976.93,1,3858.33,-2095.53,90
876.56,2999.49,1,3876.05,-2122.93,90
883.01,2989.82,1,3872.83,-2106.81,90
889.45,3015.6,1,3905.05,-2126.15,90
889.45,2983.37,1,3872.82,-2093.92,90
889.45,3002.71,1,3892.16,-2113.26,90
891.06,2996.26,1,3887.32,-2105.2,90
886.23,3015.6,1,3901.83,-2129.37,90
889.45,3002.71,1,3892.16,-2113.26,90
891.06,2989.82,1,3880.88,-2098.76,90
891.06,3002.71,1,3893.77,-2111.65,90
