right,left,lighting led pin,add,sub,light
904.76,2754.57,0,3659.33,-1849.81,150
897.51,2737.65,0,3635.16,-1840.14,150
878.98,2748.12,0,3627.1,-1869.14,150
876.56,2744.9,0,3621.46,-1868.34,150
894.29,2741.67,0,3635.96,-1847.38,150
896.7,2722.34,0,3619.04,-1825.64,150
911.21,2686.89,0,3598.1,-1775.68,150
858.84,2767.46,0,3626.3,-1908.62,150
866.09,2770.68,0,3636.77,-1904.59,150
876.56,2762.62,0,3639.18,-1886.06,150
858.03,2750.54,0,3608.57,-1892.51,150
871.73,2757.79,0,3629.52,-1886.06,150
878.17,2756.98,0,3635.15,-1878.81,150
871.73,2762.62,0,3634.35,-1890.89,150
876.56,2744.9,0,3621.46,-1868.34,150
873.34,2745.7,0,3619.04,-1872.36,150
884.62,2746.51,0,3631.13,-1861.89,150
864.48,2764.23,0,3628.71,-1899.75,150
879.79,2757.79,0,3637.58,-1878,150
870.12,2756.18,0,3626.3,-1886.06,150
877.37,2732.01,0,3609.38,-1854.64,150
870.12,2757.79,0,3627.91,-1887.67,150
876.56,2754.57,0,3631.13,-1878.01,150
868.51,2757.79,0,3626.3,-1889.28,150
866.89,2764.23,0,3631.12,-1897.34,150
870.12,2749.73,0,3619.85,-1879.61,150
862.06,2756.98,0,3619.04,-1894.92,150
877.37,2744.9,0,3622.27,-1867.53,150
876.56,2757.79,0,3634.35,-1881.23,150
871.73,2757.79,0,3629.52,-1886.06,150
874.95,2757.79,0,3632.74,-1882.84,150
876.56,2749.73,0,3626.29,-1873.17,150
878.98,2748.12,0,3627.1,-1869.14,150
876.56,2747.31,0,3623.87,-1870.75,150
879.79,2746.51,0,3626.3,-1866.72,150
881.4,2732.01,0,3613.41,-1850.61,150
880.59,2732.01,0,3612.6,-1851.42,150
882.2,2738.45,0,3620.65,-1856.25,150
883.01,2745.7,0,3628.71,-1862.69,150
886.23,2728.78,0,3615.01,-1842.55,150
889.45,2738.45,0,3627.9,-1849,150
899.12,2748.12,0,3647.24,-1849,150
879.79,2751.34,0,3631.13,-1871.55,150
876.56,2741.67,0,3618.23,-1865.11,150
863.67,2744.9,0,3608.57,-1881.23,150
876.56,2732.01,0,3608.57,-1855.45,150
870.12,2732.01,0,3602.13,-1861.89,150
869.31,2736.84,0,3606.15,-1867.53,150
881.4,2736.84,0,3618.24,-1855.44,150
873.34,2719.12,0,3592.46,-1845.78,150
874.15,2741.67,0,3615.82,-1867.52,150
874.95,2741.67,0,3616.62,-1866.72,150
879.79,2732.01,0,3611.8,-1852.22,150
867.7,2735.23,0,3602.93,-1867.53,150
876.56,2725.56,0,3602.12,-1849,150
879.79,2741.67,0,3621.46,-1861.88,150
876.56,2735.23,0,3611.79,-1858.67,150
876.56,2725.56,0,3602.12,-1849,150
880.59,2725.56,0,3606.15,-1844.97,150
881.4,2720.73,0,3602.13,-1839.33,150
878.98,2732.01,0,3610.99,-1853.03,150
882.2,2725.56,0,3607.76,-1843.36,150
876.56,2738.45,0,3615.01,-1861.89,150
873.34,2722.34,0,3595.68,-1849,150
889.45,2735.23,0,3624.68,-1845.78,150
889.45,2744.09,0,3633.54,-1854.64,150
879.79,2749.73,0,3629.52,-1869.94,150
889.45,2732.01,0,3621.46,-1842.56,150
889.45,2719.12,0,3608.57,-1829.67,150
889.45,2722.34,0,3611.79,-1832.89,150
863.67,2748.12,0,3611.79,-1884.45,150
883.01,2732.01,0,3615.02,-1849,150
876.56,2728.78,0,3605.34,-1852.22,150
887.84,2706.23,0,3594.07,-1818.39,150
863.67,2725.56,0,3589.23,-1861.89,150
872.53,2719.12,0,3591.65,-1846.59,150
873.34,2725.56,0,3598.9,-1852.22,150
879.79,2723.95,0,3603.74,-1844.16,150
870.92,2728.78,0,3599.7,-1857.86,150
876.56,2720.73,0,3597.29,-1844.17,150
877.37,2732.01,2,3609.38,-1854.64,30
881.4,2738.45,2,3619.85,-1857.05,30
880.59,2732.01,2,3612.6,-1851.42,30
863.67,2654.66,2,3518.33,-1790.99,30
836.28,2620.83,2,3457.11,-1784.55,30
837.89,2628.88,2,3466.77,-1790.99,30
837.89,2642.58,2,3480.47,-1804.69,30
837.89,2628.88,2,3466.77,-1790.99,30
845.14,2614.38,2,3459.52,-1769.24,30
837.89,2633.72,2,3471.61,-1795.83,30
842.72,2632.1,2,3474.82,-1789.38,30
846.75,2617.6,2,3464.35,-1770.85,30
852.39,2628.88,2,3481.27,-1776.49,30
857.23,2620.83,2,3478.06,-1763.6,30
857.23,2620.83,2,3478.06,-1763.6,30
863.67,2620.83,2,3484.5,-1757.16,30
848.36,2628.88,2,3477.24,-1780.52,30
857.23,2640.97,2,3498.2,-1783.74,30
850.78,2638.55,2,3489.33,-1787.77,30
863.67,2628.88,2,3492.55,-1765.21,30
876.56,2641.77,1,3518.33,-1765.21,90
870.92,2627.27,1,3498.19,-1756.35,90
876.56,2654.66,1,3531.22,-1778.1,90
891.87,2693.33,1,3585.2,-1801.46,90
928.12,2693.33,1,3621.45,-1765.21,90
911.21,2696.56,1,3607.77,-1785.35,90
902.34,2680.44,1,3582.78,-1778.1,90
909.59,2693.33,1,3602.92,-1783.74,90
915.23,2680.44,1,3595.67,-1765.21,90
912.82,2699.78,1,3612.6,-1786.96,90
905.57,2698.17,1,3603.74,-1792.6,90
896.7,2694.95,1,3591.65,-1798.25,90
895.09,2690.11,1,3585.2,-1795.02,90
896.7,2680.44,1,3577.14,-1783.74,90
891.06,2709.45,1,3600.51,-1818.39,90
893.48,2722.34,1,3615.82,-1828.86,90
897.51,2719.92,1,3617.43,-1822.41,90
902.34,2704.61,1,3606.95,-1802.27,90
896.7,2698.97,1,3595.67,-1802.27,90
902.34,2732.01,1,3634.35,-1829.67,90
902.34,2728.78,0,3631.12,-1826.44,150
891.06,2709.45,0,3600.51,-1818.39,150
887.04,2725.56,0,3612.6,-1838.52,150
886.23,2725.56,0,3611.79,-1839.33,150
893.48,2736.84,0,3630.32,-1843.36,150
892.68,2730.4,0,3623.08,-1837.72,150
889.45,2722.34,0,3611.79,-1832.89,150
883.81,2719.12,0,3602.93,-1835.31,150
879.79,2738.45,0,3618.24,-1858.66,150
889.45,2741.67,0,3631.12,-1852.22,150
892.68,2728.78,0,3621.46,-1836.1,150
884.62,2722.34,0,3606.96,-1837.72,150
882.2,2725.56,0,3607.76,-1843.36,150
883.01,2703,0,3586.01,-1819.99,150
874.15,2715.89,0,3590.04,-1841.74,150
882.2,2719.12,0,3601.32,-1836.92,150
884.62,2728.78,0,3613.4,-1844.16,150
889.45,2720.73,0,3610.18,-1831.28,150
881.4,2722.34,0,3603.74,-1840.94,150
900.73,2693.33,0,3594.06,-1792.6,150
876.56,2709.45,1,3586.01,-1832.89,90
911.21,2744.9,1,3656.11,-1833.69,90
884.62,2717.5,1,3602.12,-1832.88,90
881.4,2712.67,1,3594.07,-1831.27,90
884.62,2715.89,1,3600.51,-1831.27,90
883.01,2695.75,1,3578.76,-1812.74,90
876.56,2693.33,1,3569.89,-1816.77,90
876.56,2680.44,1,3557,-1803.88,90
878.98,2677.22,1,3556.2,-1798.24,90
876.56,2674,1,3550.56,-1797.44,90
884.62,2679.64,1,3564.26,-1795.02,90
883.01,2674,1,3557.01,-1790.99,90
888.65,2680.44,1,3569.09,-1791.79,90
874.95,2693.33,1,3568.28,-1818.38,90
874.15,2693.33,1,3567.48,-1819.18,90
876.56,2679.64,1,3556.2,-1803.08,90
883.01,2698.17,1,3581.18,-1815.16,90
876.56,2694.95,1,3571.51,-1818.39,90
886.23,2680.44,1,3566.67,-1794.21,90
889.45,2674,1,3563.45,-1784.55,90
876.56,2696.56,2,3573.12,-1820,30
886.23,2696.56,2,3582.79,-1810.33,30
889.45,2693.33,2,3582.78,-1803.88,30
837.89,2641.77,2,3479.66,-1803.88,30
845.14,2625.66,2,3470.8,-1780.52,30
848.36,2633.72,2,3482.08,-1785.36,30
852.39,2635.33,2,3487.72,-1782.94,30
855.62,2635.33,2,3490.95,-1779.71,30
858.84,2625.66,2,3484.5,-1766.82,30
837.89,2641.77,2,3479.66,-1803.88,30
850.78,2607.93,2,3458.71,-1757.15,30
850.78,2628.08,2,3478.86,-1777.3,30
850.78,2622.44,2,3473.22,-1771.66,30
859.64,2617.6,2,3477.24,-1757.96,30
848.36,2627.27,2,3475.63,-1778.91,30
858.84,2621.63,2,3480.47,-1762.79,30
859.64,2614.38,2,3474.02,-1754.74,30
858.03,2612.77,2,3470.8,-1754.74,30
852.39,2616.8,2,3469.19,-1764.41,30
863.67,2619.21,2,3482.88,-1755.54,30
854,2606.32,1,3460.32,-1752.32,90
863.67,2612.77,1,3476.44,-1749.1,90
872.53,2641.77,1,3514.3,-1769.24,90
899.12,2646.61,1,3545.73,-1747.49,90
892.68,2661.11,1,3553.79,-1768.43,90
913.62,2661.11,1,3574.73,-1747.49,90
903.15,2680.44,1,3583.59,-1777.29,90
905.57,2690.11,1,3595.68,-1784.54,90
908.79,2699.78,1,3608.57,-1790.99,90
915.23,2680.44,1,3595.67,-1765.21,90
907.18,2680.44,1,3587.62,-1773.26,90
903.15,2680.44,1,3583.59,-1777.29,90
899.12,2674,1,3573.12,-1774.88,90
897.51,2696.56,1,3594.07,-1799.05,90
894.29,2689.31,1,3583.6,-1795.02,90
895.9,2696.56,1,3592.46,-1800.66,90
894.29,2693.33,1,3587.62,-1799.04,90
892.68,2686.89,1,3579.57,-1794.21,90
892.68,2674,1,3566.68,-1781.32,90
889.45,2680.44,1,3569.89,-1790.99,90
889.45,2680.44,2,3569.89,-1790.99,30
891.06,2674,2,3565.06,-1782.94,30
889.45,2693.33,2,3582.78,-1803.88,30
847.56,2615.99,2,3463.55,-1768.43,30
850.78,2583.76,2,3434.54,-1732.98,30
850.78,2625.66,2,3476.44,-1774.88,30
847.56,2619.21,2,3466.77,-1771.65,30
847.56,2609.55,2,3457.11,-1761.99,30
845.95,2601.49,2,3447.44,-1755.54,30
854,2601.49,2,3455.49,-1747.49,30
852.39,2615.99,2,3468.38,-1763.6,30
849.17,2619.21,2,3468.38,-1770.04,30
861.25,2620.83,2,3482.08,-1759.58,30
850.78,2627.27,2,3478.05,-1776.49,30
863.67,2617.6,2,3481.27,-1753.93,30
854,2632.1,2,3486.1,-1778.1,30
866.89,2627.27,2,3494.16,-1760.38,30
855.62,2620.83,2,3476.45,-1765.21,30
863.67,2622.44,2,3486.11,-1758.77,30
865.28,2593.43,2,3458.71,-1728.15,30
863.67,2601.49,0,3465.16,-1737.82,150
863.67,2591.82,0,3455.49,-1728.15,150
883.81,2641.77,0,3525.58,-1757.96,150
891.06,2669.17,0,3560.23,-1778.11,150
899.12,2674,0,3573.12,-1774.88,150
923.29,2669.17,0,3592.46,-1745.88,150
918.46,2680.44,0,3598.9,-1761.98,150
